#Symbol;System Date;Change;IsinCode;Country;Mnemo;Name;MIC;Divisor;t-1 IV;t0 IV;t0 IV unround;Mkt Cap;Nr of components;Curr;FX;ISIN Underlying Price Index;ISIN Gross Return version;ISIN Net Return version;Effect Gross Total Return;Effect Net Total Return ;Stocks Effect Index;Dividend Currency Type;Calculation Type;Index Type;Return Method;Return Value;Number Of Days;Yearly Days;Dead Flag;Rate Name;Adjustment coefficient ind.
FRESG0000009;11-12-2025;;FRESG0000009;FR;GHCPR;Euronext Global Health Care 50 EW ESG;XPAR;1012437.30600817;5057.20;5054.31;5054.30977266;5117171769.96320773;50;EUR;1;;FRESG0000025;FRESG0000017;;;;ECB;EU Price;Indices;;;;;0;;CALCULATED
FRCLIM006848;11-12-2025;;FRCLIM006848;NL;PT405;Euronext PAB Transatlantic 40 50D Points;XAMS;;1052.80;1058.18;1058.17776196;;;;;FRCLIM000320;;;;;;ECB;TR4 Dividend Return;Indices;Points;50;1;365;0;;CALCULATED
FRCLIM000684;11-12-2025;;FRCLIM000684;FR;EGGSH;EN Global Green Solutions PAB NR UH;XPAR;;5870.74;5827.92;5827.91617518;;;;;FRCLIM000668;;;;0;;ECB;TR1;Indices;;;;;0;;CALCULATED
FRCLIM000676;11-12-2025;;FRCLIM000676;FR;EGGSG;EN Global Green Solutions PAB GR;XPAR;;6484.87;6437.56;6437.55999973;;;;;FRCLIM000668;;;0;;;ECB;TR1;Indices;;;;;0;;CALCULATED
FRCLIM000668;11-12-2025;;FRCLIM000668;FR;EGGSP;EN Global Green Solutions PAB;XPAR;992660.597154855;4342.31;4310.64;4310.63583267;4278998339.77915035;60;EUR;1;;FRCLIM000676;FRCLIM000684;;;;ECB;EU Price;Indices;;;;;0;;CALCULATED
FRCLIM000650;11-12-2025;;FRCLIM000650;FR;ETC50;EN Transatlantic PAB 40 Capped D50P;XPAR;;1036.28;1037.68;1037.67996258;;;;;FRCLIM000635;;;;;;ECB;TR4 Dividend Return;Indices;Points;50;1;365;0;;CALCULATED
FRCLIM000643;11-12-2025;;FRCLIM000643;FR;ETCD5;EN Transatlantic PAB 40 Capped D5%;XPAR;;4210.91;4216.57;4216.56666033;;;;;FRCLIM000627;;;;;;ECB;TR4 Dividend Return;Indices;Percentage;.05;1;365;0;;CALCULATED
FRCLIM000635;11-12-2025;;FRCLIM000635;FR;ETPCG;EN Transatlantic PAB 40 Capped GR;XPAR;;13036.08;13055.38;13055.38400145;;;;;FRCLIM000619;;;0;;;ECB;TR1;Indices;;;;;0;;CALCULATED
FRCLIM000627;11-12-2025;;FRCLIM000627;FR;ETPCN;EN Transatlantic PAB 40 Capped NR;XPAR;;11419.99;11436.89;11436.89466798;;;;;FRCLIM000619;;;;0;;ECB;TR1;Indices;;;;;0;;CALCULATED
FRCLIM000619;11-12-2025;;FRCLIM000619;FR;ETPCP;EN Transatlantic PAB 40 Capped;XPAR;1009118.03698489;7919.70;7931.43;7931.42524843;8003744277.18861494;40;EUR;1;;FRCLIM000635;FRCLIM000627;;;;ECB;EU Price;Indices;;;;;0;;CALCULATED
FRCLIM000593;11-12-2025;;FRCLIM000593;FR;TP1D5;Euronext Transatlantic PAB 50 10% Cap Decrement 50;XPAR;;990.23;987.16;987.15944425;;;;;FRCLIM000577;;;;;;ECB;TR4 Dividend Return;Indices;Points;50;1;360;0;;CALCULATED
FRCLIM000585;11-12-2025;;FRCLIM000585;FR;TP1CD;Euronext Transatlantic PAB 50 10% Cap Decrement 5%;XPAR;;990.10;987.03;987.02830191;;;;;FRCLIM000569;;;;;;ECB;TR4 Dividend Return;Indices;Percentage;.05;1;360;0;;CALCULATED
FRCLIM000577;11-12-2025;;FRCLIM000577;FR;TP1CG;Euronext Transatlantic PAB 50 10% Cap GR;XPAR;;10277.16;10246.76;10246.75522048;;;;;FRCLIM000551;;;0;;;ECB;TR1;Indices;;;;;0;;CALCULATED
FRCLIM000569;11-12-2025;;FRCLIM000569;FR;TP1CN;Euronext Transatlantic PAB 50 10% Cap NR;XPAR;;9339.11;9311.48;9311.48375344;;;;;FRCLIM000551;;;;0;;ECB;TR1;Indices;;;;;0;;CALCULATED
FRCLIM000551;11-12-2025;;FRCLIM000551;FR;TP1CP;Euronext Transatlantic PAB 50 10% Cap;XPAR;997058.462362516;7150.04;7128.89;7128.8852071;7107915322.94966731;50;EUR;1;;FRCLIM000577;FRCLIM000569;;;;ECB;EU Price;Indices;;;;;0;;CALCULATED
FRCLIM000544;11-12-2025;;FRCLIM000544;FR;TPD5P;Euronext Transatlantic PAB 50 D50P;XPAR;;1030.000;1024.836;1024.83623312;;;;;FRCLIM000122;;;;;;ECB;TR4 Dividend Return;Indices;Points;50;1;360;0;;CALCULATED
FRCLIM000395;11-12-2025;;FRCLIM000395;FR;PT4D4;Euronext PAB Transatlantic 40 D4%;XPAR;;4967.19;4992.64;4992.64217576;;;;;FRCLIM000312;;;;;;ECB;TR4 Dividend Return;Indices;Percentage;.04;1;365;0;;CALCULATED
FRCLIM000346;11-12-2025;;FRCLIM000346;FR;PT450;Euronext PAB Transatlantic 40 D50 Points;XPAR;;994.31;999.38;999.38143471;;;;;FRCLIM000320;;;;;;ECB;TR4 Dividend Return;Indices;Points;50;1;365;0;;CALCULATED
FRCLIM000338;11-12-2025;;FRCLIM000338;FR;PT4D5;Euronext PAB Transatlantic 40 D5%;XPAR;;4066.50;4087.23;4087.22838416;;;;;FRCLIM000312;;;;;;ECB;TR4 Dividend Return;Indices;Percentage;.05;1;365;0;;CALCULATED
