#Symbol;System Date;Change;IsinCode;Country;Mnemo;Name;MIC;Divisor;t-1 IV;t0 IV;t0 IV unround;Mkt Cap;Nr of components;Curr;FX;ISIN Underlying Price Index;ISIN Gross Return version;ISIN Net Return version;Effect Gross Total Return;Effect Net Total Return ;Stocks Effect Index;Dividend Currency Type;Calculation Type;Index Type;Return Method;Return Value;Number Of Days;Yearly Days;Dead Flag;Rate Name;Adjustment coefficient ind.
PTINGINPSI20;17-12-2025;;PTING020000I;PT;PIRUT;PSI REUT INTERN;XLIS;1868586.73412263;8062.05;8070.37;8070.36668258;15080180122.57656542;16;EUR;1;;PTING021000I;QS001121118I;;;;ECB;EU Price;Indices;;;;;0;;CALCULATED
PTINGINPSIGR;17-12-2025;;PTING021000I;PT;PIRUG;PSI GROSS REUT INTERN;XLIS;;25051.46;25077.29;25077.29042715;;;;;PTING020000I;;;0;;;ECB;TR1;Indices;;;;;0;;CALCULATED
NO0012513524;17-12-2025;;NO0012513524;NO;OEXON;OBX ESG ex Oil and Gas NR;XOSL;;5021.39;5051.49;5051.48913901;;;;;NO0012513516;;;;0;;ECB;TR1;Indices;;;;;0;;CALCULATED
NO0012513516;17-12-2025;;NO0012513516;NO;OEXOP;OBX ESG ex Oil and Gas PR;XOSL;270972060.894784;3574.45;3595.88;3595.87797938;974382466799.8717171;39;NOK;1;;NO0012513508;NO0012513524;;;;ECB;EU Price;Indices;;;;;0;;CALCULATED
NO0012513508;17-12-2025;;NO0012513508;NO;OEXOG;OBX ESG ex Oil and Gas;XOSL;;5604.21;5637.81;5637.80743105;;;;;NO0012513516;;;0;;;ECB;TR1;Indices;;;;;0;;CALCULATED
NO0012513490;17-12-2025;;NO0012513490;NO;OBXEN;OBX ESG NR;XOSL;;4129.93;4154.88;4154.88257223;;;;;NO0012513482;;;;0;;ECB;TR1;Indices;;;;;0;;CALCULATED
NO0012513482;17-12-2025;;NO0012513482;NO;OBXEP;OBX ESG PR;XOSL;360755555.495039;2843.21;2860.39;2860.38713166;1031900548614.5024937;39;NOK;1;;NO0012513474;NO0012513490;;;;ECB;EU Price;Indices;;;;;0;;CALCULATED
NO0012513474;17-12-2025;;NO0012513474;NO;OBXES;OBX ESG;XOSL;;4610.46;4638.32;4638.31665561;;;;;NO0012513482;;;0;;;ECB;TR1;Indices;;;;;0;;CALCULATED
NO0010892227;17-12-2025;;NO0010892227;NO;OSEPB;OSEBX_STB Index PR;XOSL;13174584717.4427;134.84;135.99;135.99422539;1791667443508.7705422;59;NOK;1;;NO0010865355;;;;;ECB;EU Price;Indices;;;;;0;;CALCULATED
NO0010892201;17-12-2025;;NO0010892201;NO;OSEXP;OSEEXR Index PR;XOSL;693812669.467073;215.35;215.6;215.59537849;149582805077.39;20;NOK;1;;NO0010865371;;;;;ECB;EU Price;Indices;;;;;0;;CALCULATED
NO0010892193;17-12-2025;;NO0010892193;NO;OSEPX;OSEBXG Index PR;XOSL;12119952088.1761;134.23;135.45;135.45394196;1641695286712.3455422;59;NOK;1;;NO0010865363;;;;;ECB;EU Price;Indices;;;;;0;;CALCULATED
NO0010892185;17-12-2025;;NO0010892185;NO;SSSHP;OSLO Shipping Index PR;XOSL;624684492.402647;303.06;303.15;303.14628887;189370785585.07;17;NOK;1;;NO0010580640;;;;;ECB;EU Price;Indices;;;;;0;;CALCULATED
NO0010892177;17-12-2025;;NO0010892177;NO;SSSFP;OSLO Seafood Index PR;XOSL;2682111823.70813;109.87;111.29;111.28566137;298480588158.46;8;NOK;1;;NO0010580624;;;;;ECB;EU Price;Indices;;;;;0;;CALCULATED
NO0010892169;17-12-2025;;NO0010892169;NO;SSENP;OSLO Energy Index PR;XOSL;5724090587.43461;180.96;183.82;183.82272052;1052217904260.995;38;NOK;1;;NO0010580590;;;;;ECB;EU Price;Indices;;;;;0;;CALCULATED
NO0010892151;17-12-2025;;NO0010892151;NO;OBXUP;OBX Uncapped Price Return Index;XOSL;10476671365.2763;142.27;143.67;143.66718325;1505153864867.10775;25;NOK;1;;NO0010865173;;;;;ECB;EU Price;Indices;;;;;0;;CALCULATED
NO0010890668;17-12-2025;;NO0010890668;NO;OSEEP;Oslo Børs Equity Certificate Index  PR;XOSL;476516756.066698;215.42;215.47;215.4741619;102677048643.88;19;NOK;1;;NO0000000062;;;;;ECB;EU Price;Indices;;;;;0;;CALCULATED
NO0010890650;17-12-2025;;NO0010890650;NO;OBOSP;OBOSX Oil Service PR;XOSL;307983720.06613;141.25;141.25;141.24746591;43501920000;1;NOK;1;;NO0010590086;;;;;ECB;EU Price;Indices;;;;;0;;CALCULATED
NO0010890643;17-12-2025;;NO0010890643;NO;OUTP;OBX Utilities PR;XOSL;1133086295.97981;25.14;25.17;25.17259465;28522722032.284;6;NOK;1;;NO0010890627;NO0010890635;;;;ECB;EU Price;Indices;;;;;0;;CALCULATED
NO0010890635;17-12-2025;;NO0010890635;NO;OUTN;OBX Utilities NR;XOSL;;27.28;27.31;27.31438167;;;;;NO0010890643;;;;0;;ECB;TR1;Indices;;;;;0;;CALCULATED
NO0010890627;17-12-2025;;NO0010890627;NO;OUTG;OBX Utilities GR;XOSL;;844.84;845.99;845.98908825;;;;;NO0010890643;;;0;;;ECB;TR1;Indices;;;;;0;;CALCULATED
NO0010890619;17-12-2025;;NO0010890619;NO;OENP;OBX Energy PR;XOSL;6390906807.77721;163.39;165.95;165.95154327;1060580847658.901;42;NOK;1;;NO0010890593;NO0010890601;;;;ECB;EU Price;Indices;;;;;0;;CALCULATED
NO0010890601;17-12-2025;;NO0010890601;NO;OENN;OBX Energy NR;XOSL;;195.90;198.97;198.96926964;;;;;NO0010890619;;;;0;;ECB;TR1;Indices;;;;;0;;CALCULATED
NO0010890593;17-12-2025;;NO0010890593;NO;OENG;OBX Energy GR;XOSL;;1382.78;1404.42;1404.42150578;;;;;NO0010890619;;;0;;;ECB;TR1;Indices;;;;;0;;CALCULATED
NO0010890585;17-12-2025;;NO0010890585;NO;OBMP;OBX Basic Materials PR;XOSL;1975732090.84754;150.18;152.91;152.90911042;302107436430.15;9;NOK;1;;NO0010890569;NO0010890577;;;;ECB;EU Price;Indices;;;;;0;;CALCULATED
NO0010890577;17-12-2025;;NO0010890577;NO;OBMN;OBX Basic Materials NR;XOSL;;179.44;182.7;182.69892976;;;;;NO0010890585;;;;0;;ECB;TR1;Indices;;;;;0;;CALCULATED
NO0010890569;17-12-2025;;NO0010890569;NO;OBMG;OBX Basic Materials GR;XOSL;;1239.97;1262.52;1262.52391908;;;;;NO0010890585;;;0;;;ECB;TR1;Indices;;;;;0;;CALCULATED
NO0010890551;17-12-2025;;NO0010890551;NO;OINP;OBX Industrials PR;XOSL;3464072447.15698;199.31;200.96;200.96235698;696148163736.856;49;NOK;1;;NO0010890536;NO0010890544;;;;ECB;EU Price;Indices;;;;;0;;CALCULATED
NO0010890544;17-12-2025;;NO0010890544;NO;OINN;OBX Industrials NR;XOSL;;253.02;255.11;255.1105174;;;;;NO0010890551;;;;0;;ECB;TR1;Indices;;;;;0;;CALCULATED
NO0010890536;17-12-2025;;NO0010890536;NO;OING;OBX Industrials GR;XOSL;;1420.89;1432.66;1432.6561821;;;;;NO0010890551;;;0;;;ECB;TR1;Indices;;;;;0;;CALCULATED
NO0010890528;17-12-2025;;NO0010890528;NO;OCSP;OBX Consumer Staples PR;XOSL;3556046706.45274;117.06;118.18;118.18248445;420262434600.06;12;NOK;1;;NO0010890502;NO0010890510;;;;ECB;EU Price;Indices;;;;;0;;CALCULATED
NO0010890510;17-12-2025;;NO0010890510;NO;OCSN;OBX Consumer Staples NR;XOSL;;133.17;134.45;134.45177012;;;;;NO0010890528;;;;0;;ECB;TR1;Indices;;;;;0;;CALCULATED
NO0010890502;17-12-2025;;NO0010890502;NO;OCSG;OBX Consumer Staples GR;XOSL;;4045.97;4084.84;4084.84395682;;;;;NO0010890528;;;0;;;ECB;TR1;Indices;;;;;0;;CALCULATED
NO0010890494;17-12-2025;;NO0010890494;NO;OCDP;OBX Consumer Discretionary PR;XOSL;775700423.119324;77.13;76.67;76.66727158;59470835004.849;10;NOK;1;;NO0010890478;NO0010890486;;;;ECB;EU Price;Indices;;;;;0;;CALCULATED
NO0010890486;17-12-2025;;NO0010890486;NO;OCDN;OBX Consumer Discretionary NR;XOSL;;80.84;80.36;80.35781417;;;;;NO0010890494;;;;0;;ECB;TR1;Indices;;;;;0;;CALCULATED
NO0010890478;17-12-2025;;NO0010890478;NO;OCDG;OBX Consumer Discretionary GR;XOSL;;715.13;710.85;710.85415464;;;;;NO0010890494;;;0;;;ECB;TR1;Indices;;;;;0;;CALCULATED
NO0010890460;17-12-2025;;NO0010890460;NO;OREP;OBX Real Estate PR;XOSL;552301853.136941;111.52;111.98;111.98089312;61847254787.92;4;NOK;1;;NO0010890445;NO0010890452;;;;ECB;EU Price;Indices;;;;;0;;CALCULATED
NO0010890452;17-12-2025;;NO0010890452;NO;OREN;OBX Real Estate NR;XOSL;;123.90;124.42;124.41702435;;;;;NO0010890460;;;;0;;ECB;TR1;Indices;;;;;0;;CALCULATED
NO0010890445;17-12-2025;;NO0010890445;NO;OREG;OBX Real Estate GR;XOSL;;211.34;212.22;212.2216943;;;;;NO0010890460;;;0;;;ECB;TR1;Indices;;;;;0;;CALCULATED
NO0010890437;17-12-2025;;NO0010890437;NO;OFINP;OBX Financials PR;XOSL;4552457508.3663;181.38;181.74;181.7391563;827359786677.79;14;NOK;1;;NO0010890411;NO0010890429;;;;ECB;EU Price;Indices;;;;;0;;CALCULATED
NO0010890429;17-12-2025;;NO0010890429;NO;OFINN;OBX Financials NR;XOSL;;225.42;225.86;225.85991219;;;;;NO0010890437;;;;0;;ECB;TR1;Indices;;;;;0;;CALCULATED
NO0010890411;17-12-2025;;NO0010890411;NO;OFING;OBX Financials GR;XOSL;;5072.54;5082.48;5082.48015863;;;;;NO0010890437;;;0;;;ECB;TR1;Indices;;;;;0;;CALCULATED
NO0010890403;17-12-2025;;NO0010890403;NO;OHCP;OBX Health Care PR;XOSL;327471550.222387;39.04;39.61;39.60568914;12969736420.9015;13;NOK;1;;NO0010890387;NO0010890395;;;;ECB;EU Price;Indices;;;;;0;;CALCULATED
NO0010890395;17-12-2025;;NO0010890395;NO;OHCN;OBX Health Care NR;XOSL;;41.30;41.9;41.89590125;;;;;NO0010890403;;;;0;;ECB;TR1;Indices;;;;;0;;CALCULATED
NO0010890387;17-12-2025;;NO0010890387;NO;OHCG;OBX Health Care GR;XOSL;;337.13;341.99;341.98833516;;;;;NO0010890403;;;0;;;ECB;TR1;Indices;;;;;0;;CALCULATED
NO0010890379;17-12-2025;;NO0010890379;NO;OTELP;OBX Telecommunications PR;XOSL;2206557787.52005;94.37;94.52;94.52240498;208569148794.1;4;NOK;1;;NO0010890353;NO0010890361;;;;ECB;EU Price;Indices;;;;;0;;CALCULATED
