#Symbol;System Date;Change;IsinCode;Country;Mnemo;Name;MIC;Divisor;t-1 IV;t0 IV;t0 IV unround;Mkt Cap;Nr of components;Curr;FX;ISIN Underlying Price Index;ISIN Gross Return version;ISIN Net Return version;Effect Gross Total Return;Effect Net Total Return ;Stocks Effect Index;Dividend Currency Type;Calculation Type;Index Type;Return Method;Return Value;Number Of Days;Yearly Days;Dead Flag;Rate Name;Adjustment coefficient ind.
QS0011256250;16-12-2025;;QS0011256250;NL;ENVBG;Euronext Sustainable Benelux 20 GR Index;XAMS;;3693.66;3692.39;3692.38522675;;;;;QS0011256235;;;0;;;ECB;TR1;Indices;;;;;0;;CALCULATED
QS0011256243;16-12-2025;;QS0011256243;NL;ENVBN;Euronext Sustainable Benelux 20 NR Index;XAMS;;3371.09;3369.93;3369.93210632;;;;;QS0011256235;;;;0;;ECB;TR1;Indices;;;;;0;;CALCULATED
QS0011256235;16-12-2025;;QS0011256235;NL;ENVB;Euronext Sustainable Benelux 20 Index;XAMS;885.32125481205;2248.80;2248.03;2248.02600094;1990225.2;20;EUR;1;;QS0011256250;QS0011256243;;;;ECB;EU Price;Indices;;;;;0;;CALCULATED
QS0011256227;16-12-2025;;QS0011256227;NL;ENVOG;Euronext Sustainable Euro 120 GR Index;XAMS;;3568.76;3568.37;3568.37258814;;;;;QS0011256201;;;.42385006565005;;ES0178430E18;ECB;TR1;Indices;;;;;0;;CALCULATED
QS0011256219;16-12-2025;;QS0011256219;NL;ENVON;Euronext Sustainable Euro 120 NR Index;XAMS;;3127.00;3126.54;3126.53647431;;;;;QS0011256201;;;;.34331855317654;ES0178430E18;ECB;TR1;Indices;;;;;0;;CALCULATED
QS0011256201;16-12-2025;;QS0011256201;NL;ENVEO;Euronext Sustainable Euro 120 Index;XAMS;818.213864065625;2102.11;2101.46;2101.4616001;1719445.016;120;EUR;1;;QS0011256227;QS0011256219;;;;ECB;EU Price;Indices;;;;;0;;CALCULATED
QS0011250956;16-12-2025;;QS0011250956;NL;ENVUG;Euronext Sustainable UK 20 GR Index;XAMS;;2055.97;2055.33;2055.32543025;;;;;QS0011250931;;;0;;;ECB;TR1;Indices;;;;;0;;CALCULATED
QS0011250949;16-12-2025;;QS0011250949;NL;ENVUN;Euronext Sustainable UK 20 NR Index;XAMS;;2023.75;2023.12;2023.11957959;;;;;QS0011250931;;;;0;;ECB;TR1;Indices;;;;;0;;CALCULATED
QS0011250931;16-12-2025;;QS0011250931;NL;ENVUK;Euronext Sustainable UK 20 Index;XAMS;75737.3980710988;1203.40;1203.02;1203.01986232;91113594.2;20;GBX;1;;QS0011250956;QS0011250949;;;;ECB;EU Price;Indices;;;;;0;;CALCULATED
QS0011250923;16-12-2025;;QS0011250923;NL;ENVFG;Euronext Sustainable France 20 GR Index;XAMS;;2610.83;2611.3;2611.30206984;;;;;QS0011250907;;;0;;;ECB;TR1;Indices;;;;;0;;CALCULATED
QS0011250915;16-12-2025;;QS0011250915;NL;ENVFN;Euronext Sustainable France 20 NR Index;XAMS;;2244.32;2244.72;2244.72180237;;;;;QS0011250907;;;;0;;ECB;TR1;Indices;;;;;0;;CALCULATED
