#Symbol;System date;Adjust Reason;Isin Code;Country;Mnemo;Name;MIC;ICBCode;Close Prc;Adj Closing price;Net Div;Gross Div;Index;Shares;Free float-Coeff;Capping Factor-Coeff;Currency;FX/Index Ccy;Wght;Index Mkt Cap;Pct Wght;Dividend Rate;Source net div;Source gross div;Direct WM rate;Closing MPR;Day Decrement;Decrements;Dates
JDEP.AS;03-04-2025;;NL0014332678;NL;JDEP;JDE PEET'S;XAMS;45101020;20.34;20.34000000;0;0;DEZPT;488178642;0.3;1;EUR;1;0.30000000;2978866073.484;0.04664;;;;;0;0;;
JCDX.PA;03-04-2025;;FR0000077919;FR;DEC;JCDECAUX;XPAR;40301020;15.22;15.22000000;0;0;DEZPT;214128663;0.3;1;EUR;1;0.30000000;977711475.258;0.01531;;;;;0;0;;
IVG.MI;03-04-2025;;NL0015000LU4;IT;IVG;IVECO GROUP;MTAA;50206015;15.06;15.06000000;0;0;DEZPT;271215400;0.65;1;EUR;1;0.65000000;2654927550.6;0.04157;;;;;0;0;;
ITX.MC;03-04-2025;;ES0148396007;ES;ITX;INDITEX;XMAD;40401020;46.4;46.40000000;0;0;DEZPT;3116652000;0.4;1;EUR;1;0.40000000;57845061120;0.90561;;;;;0;0;;
ITPG.MI;03-04-2025;;IT0001078911;IT;IP;INTERPUMP GROUP;MTAA;50204000;33;33.00000000;0;0;DEZPT;108879294;0.75;1;EUR;1;0.75000000;2694762526.5;0.04219;;;;;0;0;;
ITMI.MI;03-04-2025;;IT0005253205;IT;ITM;ITALMOBILIARE;MTAA;30202000;23.45;23.45000000;0;0;DEZPT;42500000;0.35;1;EUR;1;0.35000000;348818750;0.00546;;;;;0;0;;
ISP.MI;03-04-2025;;IT0000072618;IT;ISP;INTESA SANPAOLO;MTAA;30101010;4.7885;4.78850000;0;0;DEZPT;17803670501;0.9;1;EUR;1;0.90000000;76727588574.63465;1.20123;;;;;0;0;;
ISOS.PA;03-04-2025;;FR0000073298;FR;IPS;IPSOS;XPAR;40301020;42.06;42.06000000;0;0;DEZPT;43203225;0.8;1;EUR;1;0.80000000;1453702114.8;0.02276;;;;;0;0;;
IR5B_u.I;03-04-2025;;IE00BLP58571;IE;IR5B;IRISH CONT. GP.;XMSM;50206030;5.34;5.34000000;0;0;DEZPT;164580565;0.7;1;EUR;1;0.70000000;615202151.97;0.00963;;;;;0;0;;
IRES.I;03-04-2025;;IE00BJ34P519;IE;IRES;IRISH RES. PROP.;XMSM;35102040;0.935;0.93500000;0;0;DEZPT;529578946;0.95;1;EUR;1;0.95000000;470398498.7845;0.00736;;;;;0;0;;
IREE.MI;03-04-2025;;IT0003027817;IT;IRE;IREN;MTAA;65102000;2.37;2.37000000;0;0;DEZPT;1300931377;0.5;1;EUR;1;0.50000000;1541603681.745;0.02414;;;;;0;0;;
IPN.PA;03-04-2025;;FR0010259150;FR;IPN;IPSEN;XPAR;20103015;107.8;107.80000000;0;0;DEZPT;83814526;0.4;1;EUR;1;0.40000000;3614082361.12;0.05658;;;;;0;0;;
IPAR.PA;03-04-2025;;FR0004024222;FR;ITP;INTERPARFUMS;XPAR;40204035;40.5;40.50000000;0;0;DEZPT;76116227;0.3;1;EUR;1;0.30000000;924812158.05;0.01448;;;;;0;0;;
IOSn.DE;03-04-2025;;DE000A3E00M1;DE;IOSn;IONOS GROUP SE;XETR;10101010;26.35;26.35000000;0;0;DEZPT;140000000;0.3;1;EUR;1;0.30000000;1106700000;0.01733;;;;;0;0;;
INWT.MI;03-04-2025;;IT0005090300;IT;INW;INWIT;MTAA;15102015;9.875;9.87500000;0;0;DEZPT;931890010;0.35;1;EUR;1;0.35000000;3220844847.0625;0.05043;;;;;0;0;;
INPST.AS;03-04-2025;;LU2290522684;NL;INPST;INPOST;XAMS;50206040;14;14.00000000;0;0;DEZPT;500000000;0.4;1;EUR;1;0.40000000;2800000000;0.04384;;;;;0;0;;
INGA.AS;03-04-2025;;NL0011821202;NL;INGA;ING GROEP N.V.;XAMS;30101010;18.186;18.18600000;0;0;DEZPT;3147391173;1;1;EUR;1;1.00000000;57238455872.178;0.89612;;;;;0;0;;
IMTP.PA;03-04-2025;;FR0000120859;FR;NK;IMERYS;XPAR;55102000;29.58;29.58000000;0;0;DEZPT;84940955;0.4;1;EUR;1;0.40000000;1005021379.56;0.01573;;;;;0;0;;
IMCD.AS;03-04-2025;;NL0010801007;NL;IMCD;IMCD;XAMS;55201020;126.35;126.35000000;0;0;DEZPT;59107999;1;1;EUR;1;1.00000000;7468295673.65;0.11692;;;;;0;0;;
IG.MI;03-04-2025;;IT0005211237;IT;IG;ITALGAS;MTAA;65102020;6.59;6.59000000;0;0;DEZPT;811753913;0.6;1;EUR;1;0.60000000;3209674972.002;0.05025;;;;;0;0;;
IFXGn.DE;03-04-2025;;DE0006231004;DE;IFXGN;INFINEON TECHNOLOGIE;XETR;10102010;30.6;30.60000000;0;0;DEZPT;1305921100;1;1;EUR;1;1.00000000;39961185660;0.62563;;;;;0;0;;
IF.MI;03-04-2025;;IT0003188064;IT;IF;BANCA IFIS;MTAA;30201025;21.68;21.68000000;0;0;DEZPT;53811095;0.5;1;EUR;1;0.50000000;583312269.8;0.00913;;;;;0;0;;
IETB.BR;03-04-2025;;BE0974259880;BE;DIE;D'IETEREN GROUP;XBRU;40101010;164.6;164.60000000;0;0;DEZPT;53708999;0.4;1;EUR;1;0.40000000;3536200494.16;0.05536;;;;;0;0;;
IDR.MC;03-04-2025;;ES0118594417;ES;IDR;INDRA SISTEMAS SA;XMAD;10101010;27.1;27.10000000;0;0;DEZPT;176654400;0.45;1;EUR;1;0.45000000;2154300408;0.03373;;;;;0;0;;
IDLA.PA;03-04-2025;;FR0010929125;FR;IDL;ID LOGISTICS GROUP;XPAR;50206040;369;369.00000000;0;0;DEZPT;6548328;0.45;1;EUR;1;0.45000000;1087349864.4;0.01702;;;;;0;0;;
ICP1V.HE;03-04-2025;;FI0009006407;FI;ICP1V;INCAP OYJ;XHEL;50202010;11.3;11.30000000;0;0;DEZPT;29437214;0.65;1;EUR;1;0.65000000;216216336.83;0.00339;;;;;0;0;;
ICOS.MI;03-04-2025;;IT0005455875;IT;ICOS;INTERCOS S.P.A.;MTAA;40204035;13;13.00000000;0;0;DEZPT;96257950;0.45;1;EUR;1;0.45000000;563109007.5;0.00882;;;;;0;0;;
IBE.MC;03-04-2025;;ES0144580Y14;ES;IBE;IBERDROLA;XMAD;65101015;15.195;15.19500000;0;0;DEZPT;6440561000;0.9;1;EUR;1;0.90000000;88077891955.5;1.37893;;;;;0;0;;
HYQGn.DE;03-04-2025;;DE0005493365;DE;HYQGN;HYPOPORT SE;XETR;30202000;164.4;164.40000000;0;0;DEZPT;6872164;0.65;1;EUR;1;0.65000000;734359445.04;0.0115;;;;;0;0;;
HUH1V.HE;03-04-2025;;FI0009000459;FI;HUH1V;HUHTAMAKI OYJ;XHEL;50203030;33.26;33.26000000;0;0;DEZPT;107760380;0.9;1;EUR;1;0.90000000;3225699214.92;0.0505;;;;;0;0;;
HRMS.PA;03-04-2025;;FR0000052292;FR;RMS;HERMES INTL;XPAR;40204020;2424;2424.00000000;0;0;DEZPT;105569412;0.3;1;EUR;1;0.30000000;76770076406.4;1.2019;;;;;0;0;;
HRA.MI;03-04-2025;;IT0001250932;IT;HER;HERA;MTAA;65102000;4.038;4.03800000;0;0;DEZPT;1489538745;0.55;1;EUR;1;0.55000000;3308116598.7705;0.05179;;;;;0;0;;
HOTG.DE;03-04-2025;;DE0006070006;DE;HOTG;HOCHTIEF;XETR;50101010;156.5;156.50000000;0;0;DEZPT;77711300;0.25;1;EUR;1;0.25000000;3040454612.5;0.0476;;;;;0;0;;
HNRGn.DE;03-04-2025;;DE0008402215;DE;HNRGN;HANNOVER RUECK SE;XETR;30302020;279.1;279.10000000;0;0;DEZPT;120597140;0.5;1;EUR;1;0.50000000;16829330887;0.26348;;;;;0;0;;
HNKG_p.DE;03-04-2025;;DE0006048432;DE;HNKGP;HENKEL AG & CO PREF;XETR;40202025;72.94;72.94000000;0;0;DEZPT;178162870;0.9;1;EUR;1;0.90000000;11695679764.02;0.18311;;;;;0;0;;
HIAB.HE;03-04-2025;;FI4000571013;FI;HIAB;HIAB CORPORATION;XHEL;50204020;41.9;41.90000000;0;0;DEZPT;55182080;0.7;1;EUR;1;0.70000000;1618490406.4;0.02534;;;;;0;0;;
HFGG.DE;03-04-2025;;DE000A161408;DE;HFGG;HELLOFRESH AG;XETR;45201010;8.14;8.14000000;0;0;DEZPT;173190570;0.8;1;EUR;1;0.80000000;1127816991.84;0.01766;;;;;0;0;;
HEIO.AS;03-04-2025;;NL0000008977;NL;HEIO;HEINEKEN HOLDING;XAMS;45101010;66.7;66.70000000;0;0;DEZPT;288030168;0.45;1;EUR;1;0.45000000;8645225492.52;0.13535;;;;;0;0;;
HEIN.AS;03-04-2025;;NL0000009165;NL;HEIA;HEINEKEN;XAMS;45101010;74.9;74.90000000;0;0;DEZPT;576002613;0.5;1;EUR;1;0.50000000;21571297856.85;0.33772;;;;;0;0;;
HEIJ.AS;03-04-2025;;NL0009269109;NL;HEIJM;HEIJMANS KON;XAMS;50101010;38.2;38.20000000;0;0;DEZPT;27478006;0.95;1;EUR;1;0.95000000;997176837.74;0.01561;;;;;0;0;;
HEIG.DE;03-04-2025;;DE0006047004;DE;HEIG;HEIDELBERG MAT;XETR;50101030;164.8;164.80000000;0;0;DEZPT;182068120;0.7;1;EUR;1;0.70000000;21003378323.2;0.32883;;;;;0;0;;
HAVAS.AS;03-04-2025;;NL0015002AH0;NL;HAVAS;HAVAS;XAMS;40301020;1.3418;1.34180000;0;0;DEZPT;991811494;0.65;1;EUR;1;0.65000000;865028230.72198;0.01354;;;;;0;0;;
HARVIA.HE;03-04-2025;;FI4000306873;FI;HARVI;HARVIA OYJ;XHEL;40203050;44.95;44.95000000;0;0;DEZPT;18694237;0.95;1;EUR;1;0.95000000;798290655.4925;0.0125;;;;;0;0;;
HAGG.DE;03-04-2025;;DE000HAG0005;DE;HAGG;HENSOLDT AG;XETR;50201020;62.4;62.40000000;0;0;DEZPT;115500000;0.5;1;EUR;1;0.50000000;3603600000;0.05642;;;;;0;0;;
G24n.DE;03-04-2025;;DE000A12DM80;DE;G24N;SCOUT24 SE;XETR;10101020;97.6;97.60000000;0;0;DEZPT;75000000;1;1;EUR;1;1.00000000;7320000000;0.1146;;;;;0;0;;
G1AG.DE;03-04-2025;;DE0006602006;DE;G1AG;GEA GROUP AG;XETR;50204000;55.95;55.95000000;0;0;DEZPT;172331070;0.85;1;EUR;1;0.85000000;8195634861.525;0.12831;;;;;0;0;;
GXIG.DE;03-04-2025;;DE000A0LD6E6;DE;GXIG;GERRESHEIMER AG;XETR;20102015;67.9;67.90000000;0;0;DEZPT;34540000;1;1;EUR;1;1.00000000;2345266000;0.03672;;;;;0;0;;
GVS.MI;03-04-2025;;IT0005411209;IT;GVS;GVS;MTAA;50203015;4.305;4.30500000;0;0;DEZPT;189177693;0.45;1;EUR;1;0.45000000;366484485.76425;0.00574;;;;;0;0;;
GTT.PA;03-04-2025;;FR0011726835;FR;GTT;GTT;XPAR;60101030;141.6;141.60000000;0;0;DEZPT;37117772;0.95;1;EUR;1;0.95000000;4993082689.44;0.07817;;;;;0;0;;
GRPG.I;03-04-2025;;IE00BF2NR112;IE;GRP;GREENCOAT REN.;XESM;65101010;0.731;0.73100000;0;0;DEZPT;1113535009;1;1;EUR;1;1.00000000;813994091.579;0.01274;;;;;0;0;;
GRLS.MC;03-04-2025;;ES0171996087;ES;GRLS;GRIFOLS SA;XMAD;20103010;8.382;8.38200000;0;0;DEZPT;426129800;0.7;1;EUR;1;0.70000000;2500273988.52;0.03914;;;;;0;0;;
GRLSbn.MC;03-04-2025;;ES0171996095;ES;GRLSb;GRIFOLS S.A. PREF B;XMAD;20103010;6.61;6.61000000;0;0;DEZPT;261425100;1;1;EUR;1;1.00000000;1728019911;0.02705;;;;;0;0;;
GL9.I;03-04-2025;;IE0000669501;IE;GL9;GLANBIA PLC;XMSM;45102020;10.2;10.20000000;0;0;DEZPT;257743489;0.7;1;EUR;1;0.70000000;1840288511.46;0.02881;;;;;0;0;;
GLV.I;03-04-2025;;IE00BD6JX574;IE;GVR;GLENVEAGH PROP.PLC;XMSM;40202010;1.53;1.53000000;0;0;DEZPT;553344213;0.75;1;EUR;1;0.75000000;634962484.4175;0.00994;;;;;0;0;;
GLPG.AS;03-04-2025;;BE0003818359;NL;GLPG;GALAPAGOS;XAMS;20103010;23.02;23.02000000;0;0;DEZPT;65897071;0.55;1;EUR;1;0.55000000;834322815.931;0.01306;;;;;0;0;;
GIMV.BR;03-04-2025;;BE0003699130;BE;GIMB;GIMV;XBRU;30202010;38.75;38.75000000;0;0;DEZPT;35767300;0.7;1;EUR;1;0.70000000;970188012.5;0.01519;;;;;0;0;;
GFCP.PA;03-04-2025;;FR0010040865;FR;GFC;GECINA;XPAR;35102030;86.1;86.10000000;0;0;DEZPT;76738691;0.6;1;EUR;1;0.60000000;3964320777.06;0.06206;;;;;0;0;;
GETP.PA;03-04-2025;;FR0010533075;FR;GET;GETLINK SE;XPAR;50206020;16.195;16.19500000;0;0;DEZPT;550000000;0.6;1;EUR;1;0.60000000;5344350000;0.08367;;;;;0;0;;
GBLB.BR;03-04-2025;;BE0003797140;BE;GBLB;GBL;XBRU;30202000;70.8;70.80000000;0;0;DEZPT;138400000;0.55;1;EUR;1;0.55000000;5389296000;0.08437;;;;;0;0;;
GBFG.DE;03-04-2025;;DE0005909006;DE;GBFG;BILFINGER SE;XETR;50205010;66.3;66.30000000;0;0;DEZPT;37606373;0.75;1;EUR;1;0.75000000;1869976897.425;0.02928;;;;;0;0;;
GASI.MI;03-04-2025;;IT0000062072;IT;GASI;GENERALI;MTAA;30302010;32.92;32.92000000;0;0;DEZPT;1569420004;0.7;1;EUR;1;0.70000000;36165714572.176;0.5662;;;;;0;0;;
GALP.LS;03-04-2025;;PTGAL0AM0009;PT;GALP;GALP ENERGIA-NOM;XLIS;60101000;16.06;16.06000000;0;0;DEZPT;695415645;0.6;1;EUR;1;0.60000000;6701025155.22;0.10491;;;;;0;0;;
FUGR.AS;03-04-2025;;NL00150003E1;NL;FUR;FUGRO;XAMS;50101015;13.14;13.14000000;0;0;DEZPT;115699616;0.8;1;EUR;1;0.80000000;1216234363.392;0.01904;;;;;0;0;;
FTKn.DE;03-04-2025;;DE000FTG1111;DE;FTK;FLATEXDEGIRO AG;XETR;30202015;22.28;22.28000000;0;0;DEZPT;110132545;0.8;1;EUR;1;0.80000000;1963002482.08;0.03073;;;;;0;0;;
