#Symbol;System Date;Change;IsinCode;Country;Mnemo;Name;MIC;Divisor;t-1 IV;t0 IV;t0 IV unround;Mkt Cap;Nr of components;Curr;FX;ISIN Underlying Price Index;ISIN Gross Return version;ISIN Net Return version;Effect Gross Total Return;Effect Net Total Return ;Stocks Effect Index;Dividend Currency Type;Calculation Type;Index Type;Return Method;Return Value;Number Of Days;Yearly Days;Dead Flag
NLIX00001783;17-09-2024;;NLIX00001783;NL;EUSP;Euronext USA;XAMS;6426952072.76874;6604.47;6604.83;6604.82962947;42448923477436.908664;409;EUR;1;;NLIX00001809;NLIX00001791;;;;ECB;EU Price;Indices;;;;;0
NLIX00001684;17-09-2024;;NLIX00001684;NL;DNAG;Euronext Developed North America GR;XAMS;;8257.51;8257.42;8257.4212883;;;;;NLIX00001668;;;.13305991569123;;CA5527041084 US0320951017 US1720621010 US2788651006 US4461501045 US5128071082 US7458671010 US92537N1081;ECB;TR1;Indices;;;;;0
NLIX00001676;17-09-2024;;NLIX00001676;NL;DNAN;Euronext Developed North America NR;XAMS;;7588.56;7588.43;7588.4268005;;;;;NLIX00001668;;;;.09326794815362;CA5527041084 US0320951017 US1720621010 US2788651006 US4461501045 US5128071082 US7458671010 US92537N1081;ECB;TR1;Indices;;;;;0
NLIX00001668;17-09-2024;;NLIX00001668;NL;DNAP;Euronext Developed North America;XAMS;7224467212.17868;6176.38;6176.18;6176.1828506;44619630500591.550388;505;EUR;1;;NLIX00001684;NLIX00001676;;;;ECB;EU Price;Indices;;;;;0
NLIX00001593;17-09-2024;;NLIX00001593;NL;EDWG;Euronext Developed World GR;XAMS;;5980.49;5979.3;5979.30306426;;;;;NLIX00001577;;;.07061226124501;;AU000000COH5 CA5527041084 US0320951017 US08265T2087 US1720621010 US2788651006 US4461501045 US5128071082 US7458671010 US92537N1081;ECB;TR1;Indices;;;;;0
NLIX00001585;17-09-2024;;NLIX00001585;NL;EDWN;Euronext Developed World NR;XAMS;;5494.88;5493.77;5493.76703352;;;;;NLIX00001577;;;;.05082757844865;AU000000COH5 CA5527041084 US0320951017 US08265T2087 US1720621010 US2788651006 US4461501045 US5128071082 US7458671010 US92537N1081;ECB;TR1;Indices;;;;;0
NLIX00001577;17-09-2024;;NLIX00001577;NL;EDWP;Euronext Developed World;XAMS;14957522725.2199;4216.59;4215.68;4215.68495442;63056203508096.179606;1646;EUR;1;;NLIX00001593;NLIX00001585;;;;ECB;EU Price;Indices;;;;;0
NLIX00001031;17-09-2024;;NLIX00001031;NL;ENZTG;Euronext EZ Transatlantic GR;XAMS;;6836.84;6841.05;6841.04607095;;;;;NLIX00001015;;;.09282384402468;;US0320951017 US1720621010 US2788651006 US4461501045 US5128071082 US7458671010 US92537N1081;ECB;TR1;Indices;;;;;0
NLIX00001023;17-09-2024;;NLIX00001023;NL;ENZTN;Euronext EZ Transatlantic NR;XAMS;;6235.60;6239.4;6239.40223829;;;;;NLIX00001015;;;;.06497669081728;US0320951017 US1720621010 US2788651006 US4461501045 US5128071082 US7458671010 US92537N1081;ECB;TR1;Indices;;;;;0
NLIX00001015;17-09-2024;;NLIX00001015;NL;ENZTP;Euronext EZ Transatlantic;XAMS;10150243858.7516;4905.20;4908.13;4908.1255336;49818671055394.326884;802;EUR;1;;NLIX00001031;NLIX00001023;;;;ECB;EU Price;Indices;;;;;0
NLIX00001007;17-09-2024;;NLIX00001007;FR;HSPCG;Euronext Helios Space Index GR;XPAR;;7779.70;7722.2;7722.20495497;;;;;NLIX00000983;;;0;;;ECB;TR1;Indices;;;;;0
