#Symbol;System Date;IsinCode;Country;Mnemo;Name;MIC;t-1 IV;t0 IV;t0 IV unround;nr of days;Previous date;Today's date;Leverage factor;Name of Interest rate;Previous interest rate;Current interest Rate;REPO previous rate;REPO Rate;Previous Spread;Spread;Name of Season;Start date of season;End date of season;Reset Percentage;Underlying Reset Level/Price List;Reset Timestamp Trigger List;Dead Flag
PAC011230164;05-05-2025;QS0011230164;NL;AEX5L;AEX X5 Leverage NR;XAMS;127655.529;129487.284;129487.284;3;20250502;20250505;0;;0;0;0;0;;;;;;;;;0
PAC011230156;05-05-2025;QS0011230156;NL;AEX4L;AEX X4 Leverage NR;XAMS;251050.991;254042.458;254042.458;3;20250502;20250505;0;;0;0;0;0;;;;;;;;;0
PAC011230115;05-05-2025;QS0011230115;NL;AEX3L;AEX X3 Leverage NR;XAMS;271364.516;273886.538;273886.538;3;20250502;20250505;0;;0;0;0;0;;;;;;;;;0
PAC011216213;05-05-2025;QS0011216213;FR;CACGL;CAC 40 Leverage GR;XPAR;7479.264;7579.744;7579.744;3;20250502;20250505;0;;0;0;0;0;;;;;;;;;0
PAC011216205;05-05-2025;QS0011216205;NL;AEXNL;AEX Leverage NR;XAMS;8302.947;8356.705;8356.705;3;20250502;20250505;0;;0;0;0;0;;;;;;;;;0
PAC011179254;05-05-2025;QS0011179254;PT;PSITL;PSI Leverage GR;XLIS;2663.029;2675.795;2675.795;3;20250502;20250505;0;;0;0;0;0;;;;;;;;;0
PAC011179247;05-05-2025;QS0011179247;BE;BELTL;BEL 20 Leverage GR;XBRU;7658.392;7802.063;7802.063;3;20250502;20250505;0;;0;0;0;0;;;;;;;;;0
PAC011179239;05-05-2025;QS0011179239;NL;AEXTL;AEX Leverage GR;XAMS;9987.377;10052.04;10052.04;3;20250502;20250505;0;;0;0;0;0;;;;;;;;;0
PAC011179221;05-05-2025;QS0011179221;FR;CACTL;CAC 40 Leverage NR;XPAR;5365.625;5425.044;5425.044;3;20250502;20250505;0;;0;0;0;0;;;;;;;;;0
PAC011146964;05-05-2025;QS0011146964;PT;PSI3S;PSI X3 Short GR;XLIS;13.557;13.466;13.466;3;20250502;20250505;0;;0;0;0;0;;;;;;;;;0
PAC011146956;05-05-2025;QS0011146956;PT;PSI2S;PSI X2 Short GR;XLIS;28.161;28.035;28.035;3;20250502;20250505;0;;0;0;0;0;;;;;;;;;0
PAC011146949;05-05-2025;QS0011146949;PT;PSI3L;PSI Triple Leverage;XLIS;984.491;991.543;991.543;3;20250502;20250505;0;;0;0;0;0;;;;;;;;;0
PAC011146931;05-05-2025;QS0011146931;BE;BEL3S;BEL 20 X3 Short GR;XBRU;1.69;1.642;1.642;3;20250502;20250505;0;;0;0;0;0;;;;;;;;;0
PAC011146923;05-05-2025;QS0011146923;BE;BEL2S;BEL 20 X2 Short GR;XBRU;7.504;7.365;7.365;3;20250502;20250505;0;;0;0;0;0;;;;;;;;;0
PAC011146915;05-05-2025;QS0011146915;BE;BEL3L;BEL 20 Triple Leverage;XBRU;5088.479;5231.101;5231.101;3;20250502;20250505;0;;0;0;0;0;;;;;;;;;0
PAC011146899;05-05-2025;QS0011146899;NL;AEX2S;AEX X2 Short GR;XAMS;3.972;3.943;3.943;3;20250502;20250505;0;;0;0;0;0;;;;;;;;;0
PAC011146865;05-05-2025;QS0011146865;FR;CAC2S;CAC 40 X2 Short GR;XPAR;3.699;3.646;3.646;3;20250502;20250505;0;;0;0;0;0;;;;;;;;;0
PAC011100862;05-05-2025;QS0011100862;PT;PSIXB;PSI Xbear GR;XLIS;28.437;28.309;28.309;3;20250502;20250505;0;;0;0;0;0;;;;;;;;;0
PAC011100854;05-05-2025;QS0011100854;NL;AEXXB;AEX Xbear GR;XAMS;4.016;3.987;3.987;3;20250502;20250505;0;;0;0;0;0;;;;;;;;;0
PAC011100847;05-05-2025;QS0011100847;BE;BELXB;BEL 20 Xbear GR;XBRU;7.504;7.364;7.364;3;20250502;20250505;0;;0;0;0;0;;;;;;;;;0
PAC011095948;05-05-2025;QS0011095948;PT;PSISH;PSI Short GR;XLIS;278.464;277.862;277.862;3;20250502;20250505;0;;0;0;0;0;;;;;;;;;0
PAC011095922;05-05-2025;QS0011095922;PT;PSILV;PSI Leverage;XLIS;508.543;510.999;510.999;3;20250502;20250505;0;;0;0;0;0;;;;;;;;;0
PAC011095914;05-05-2025;QS0011095914;NL;AEXSH;AEX Short GR;XAMS;109.804;109.438;109.438;3;20250502;20250505;0;;0;0;0;0;;;;;;;;;0
PAC011095898;05-05-2025;QS0011095898;NL;AEXLV;AEX Leverage;XAMS;2257.431;2272.047;2272.047;3;20250502;20250505;0;;0;0;0;0;;;;;;;;;0
PAC011095880;05-05-2025;QS0011095880;BE;BELSH;BEL 20 Short GR;XBRU;148.577;147.205;147.205;3;20250502;20250505;0;;0;0;0;0;;;;;;;;;0
PAC011095864;05-05-2025;QS0011095864;BE;BELLV;BEL 20 Leverage;XBRU;1621.483;1651.961;1651.961;3;20250502;20250505;0;;0;0;0;0;;;;;;;;;0
PAC011095856;05-05-2025;QS0011095856;FR;CACXB;CAC 40 Xbear GR;XPAR;3.67;3.618;3.618;3;20250502;20250505;0;;0;0;0;0;;;;;;;;;0
PAC011095831;05-05-2025;QS0011095831;FR;CACSH;CAC 40 Short GR;XPAR;112.493;111.721;111.721;3;20250502;20250505;0;;0;0;0;0;;;;;;;;;0
PAC011095815;05-05-2025;QS0011095815;FR;CACLV;CAC 40 Leverage;XPAR;1695.971;1702.742;1702.742;3;20250502;20250505;0;;0;0;0;0;;;;;;;;;0
PAC010661906;05-05-2025;NL0010661906;NL;ITX7S;Italia Leva 7 Short;XAMS;43.659;41.276;41.276;3;20250502;20250505;0;;0;0;0;0;;;;;;;;;0
PAC010661898;05-05-2025;NL0010661898;NL;ITX7L;Italia Leva 7 Long;XAMS;13792.825;14413.652;14413.652;3;20250502;20250505;0;;0;0;0;0;;;;;;;;;0
PAC00B2QF4Y48;05-05-2025;IE00B2QF4Y48;IE;ISELV;ISEQ 20 Leverage;XDUB;10886.554;11132.199;11132.199;3;20250502;20250505;0;;0;0;0;0;;;;;;;;;0
PACNO0220004;05-05-2025;PTINO0220004;PT;PS3LN;PSI X3 Leverage NR;XLIS;8717.628;8779.555;8779.555;3;20250502;20250505;0;;0;0;0;0;;;;;;;;;0
