#Symbol;System Date;IsinCode;Country;Mnemo;Name;MIC;t-1 IV;t0 IV;t0 IV unround;nr of days;Previous date;Today's date;Leverage factor;Name of Interest rate;Previous interest rate;Current interest Rate;REPO previous rate;REPO Rate;Previous Spread;Spread;Name of Season;Start date of season;End date of season;Reset Percentage;Underlying Reset Level/Price List;Reset Timestamp Trigger List;Dead Flag
QS0011095914;05-05-2025;QS0011095914;NL;AEXSH;AEX Short GR;XAMS;111.619;109.135;109.13460928;3;20250502;20250505;1;ESTER;0.02156;0.02156;0.002;0.002;;;;;;;;;0
QS0011095898;05-05-2025;QS0011095898;NL;AEXLV;AEX Leverage;XAMS;2185.647;2283.653;2283.65347921;3;20250502;20250505;2;ESTER;0.02156;0.02156;0;0;0.003;0.003;;;;;;;0
QS0011095880;05-05-2025;QS0011095880;BE;BELSH;BEL 20 Short GR;XBRU;150.34;147.897;147.89691382;3;20250502;20250505;1;ESTER;0.02156;0.02156;0.002;0.002;;;;;;;;;0
QS0011095864;05-05-2025;QS0011095864;BE;BELLV;BEL 20 Leverage;XBRU;1590.277;1635.87;1635.87015489;3;20250502;20250505;2;ESTER;0.02156;0.02156;0;0;0.003;0.003;;;;;;;0
QS0011095856;05-05-2025;QS0011095856;FR;CACXB;CAC 40 Xbear GR;XPAR;3.784;3.61;3.60973845;3;20250502;20250505;2;ESTER;0.02156;0.02156;0.002;0.002;;;;;;;;;0
QS0011095831;05-05-2025;QS0011095831;FR;CACSH;CAC 40 Short GR;XPAR;114.206;111.576;111.57648723;3;20250502;20250505;1;ESTER;0.02156;0.02156;0.002;0.002;;;;;;;;;0
QS0011095815;05-05-2025;QS0011095815;FR;CACLV;CAC 40 Leverage;XPAR;1646.041;1722.379;1722.37907929;3;20250502;20250505;2;ESTER;0.02156;0.02156;0;0;0.003;0.003;;;;;;;0
PTINO0220004;05-05-2025;PTINO0220004;PT;PS3LN;PSI X3 Leverage NR;XLIS;8700.569;8747.44;8747.4400671;3;20250502;20250505;3;ESTER;0.02156;0.02156;0;0;0.003;0.003;;;;;;;0
NL0011936141;05-05-2025;NL0011936141;NL;A12LE;AEX X12 Leverage NR;XAMS;320.632;406.677;406.67651126;3;20250502;20250505;12;ESTER;0.02156;0.02156;0;0;0.003;0.003;;;;;;;0
NL0011515416;05-05-2025;NL0011515416;NL;AE15S;AEX X15 Short GR;XAMS;0.01;0.01;.01;3;20250502;20250505;15;ESTER;0.02156;0.02156;0.002;0.002;;;;;;;;;1
NL0011515408;05-05-2025;NL0011515408;NL;AE12S;AEX X12 Short GR;XAMS;1615.804;1182.065;1182.06532306;3;20250502;20250505;12;ESTER;0.02156;0.02156;0.002;0.002;;;;;;;;;0
NL0011515390;05-05-2025;NL0011515390;NL;AE10S;AEX X10 Short GR;XAMS;149.336;115.933;115.9328463;3;20250502;20250505;10;ESTER;0.02156;0.02156;0.002;0.002;;;;;;;;;0
NL0010661906;05-05-2025;NL0010661906;NL;ITX7S;Italia Leva 7 Short;XAMS;47.287;40.964;40.9636387;3;20250502;20250505;7;ESTER;0.02156;0.02156;0.002;0.002;;;;;;;;;0
NL0010661898;05-05-2025;NL0010661898;NL;ITX7L;Italia Leva 7 Long;XAMS;12809.3;14522.988;14522.98810367;3;20250502;20250505;7;ESTER;0.02156;0.02156;0;0;0.003;0.003;;;;;;;0
