ISINCode;FundingIndex;CumulativeIndex;PreliminaryIndex;Index;Eonia;DailyFunding;DailyDistribution;SyntheticDividendIndex;NextTradingDay;NextNextTradingDay;360;
GB00BNNLHW18;546.13;12723.71;38327.94;38327.94;.02156;0;0;50505.53;06/05/2025;01/04/2026;360;
FR0003500008;505.8324302;1507.69390185;7770.48;7770.48;.02156;.46536545;0;8772.8068371;06/05/2025;01/04/2026;360;
