#Symbol;System date;Adjust Reason;Isin Code;Country;Mnemo;Name;MIC;ICBCode;Close Prc;Adj Closing price;Net Div;Gross Div;Index;Shares;Free float-Coeff;Capping Factor-Coeff;Currency;FX/Index Ccy;Wght;Index Mkt Cap;Pct Wght;Dividend Rate;Source net div;Source gross div;Direct WM rate;Closing MPR;Day Decrement;Decrements;Dates
FR0000045072;05-05-2025;;FR0000045072;FR;ACA;CREDIT AGRICOLE;XPAR;30101010;16.505;16.50500000;0;0;SGACP;100;1;1;EUR;1;1.00000000;1650.5;100;;;;;0;0;;
FR0000120693;05-05-2025;;FR0000120693;FR;RI;PERNOD RICARD;XPAR;45101015;96.58;96.58000000;0;0;SPRPR;100;1;1;EUR;1;1.00000000;9658;100;;;;;0;0;;
MBGn.DE;05-05-2025;;DE0007100000;DE;MBG;MERCEDES-BENZ GROUP;XETR;40101020;53.3;53.30000000;0;0;SMBGP;100;1;1;EUR;1;1.00000000;5330;100;;;;;0;0;;
FR0000131906;05-05-2025;;FR0000131906;FR;RNO;RENAULT;XPAR;40101020;47.38;47.38000000;0;0;SREP;100;1;1;EUR;1;1.00000000;4738;100;;;;;0;0;;
FR0010411983;05-05-2025;;FR0010411983;FR;SCR;SCOR SE;XPAR;30302020;26.42;26.42000000;0;0;SSCP;100;1;1;EUR;1;1.00000000;2642;100;;;;;0;0;;
FR0000124141;05-05-2025;;FR0000124141;FR;VIE;VEOLIA ENVIRON.;XPAR;65102030;32.24;32.24000000;0;0;SVEP1;100;1;1;EUR;1;1.00000000;3224;100;;;;;0;0;;
FR001400AJ45;05-05-2025;;FR001400AJ45;FR;ML;MICHELIN;XPAR;40101015;32.7;32.70000000;0;0;SMIP;100;1;1;EUR;1;1.00000000;3270;100;;;;;0;0;;
FR0000125007;05-05-2025;;FR0000125007;FR;SGO;SAINT GOBAIN;XPAR;50101035;98.86;98.86000000;0;0;SSOP;100;1;1;EUR;1;1.00000000;9886;100;;;;;0;0;;
FR0013326246;05-05-2025;;FR0013326246;FR;URW;UNIBAIL-RODAMCO-WE;XPAR;35102045;76.2;76.20000000;0;0;SURP;100;1;1;EUR;1;1.00000000;7620;100;;;;;0;0;;
FR0000121964;05-05-2025;;FR0000121964;FR;LI;KLEPIERRE;XPAR;35102045;32.68;32.68000000;0;0;SKLP;100;1;1;EUR;1;1.00000000;3268;100;;;;;0;0;;
