ISINCode;FundingIndex;CumulativeIndex;PreliminaryIndex;Index;Eonia;DailyFunding;DailyDistribution;SyntheticDividendIndex;NextTradingDay;NextNextTradingDay;360;
GB00BNNLHW18;548.43;12723.71;38475.55;38475.55;.02168;0;0;50650.83;07/05/2025;01/04/2026;360;
FR0003500008;506.30041376;1543.82283267;7727.93;7727.93;.02168;.4653934;0;8765.91781231;07/05/2025;01/04/2026;360;
