#Symbol;System Date;IsinCode;Country;Mnemo;Name;MIC;t-1 IV;t0 IV;t0 IV unround;nr of days;Previous date;Today's date;Leverage factor;Name of Interest rate;Previous interest rate;Current interest Rate;REPO previous rate;REPO Rate;Previous Spread;Spread;Name of Season;Start date of season;End date of season;Reset Percentage;Underlying Reset Level/Price List;Reset Timestamp Trigger List;Dead Flag
PAC389916736;06-05-2025;BE0389916736;BE;BE3LN;BEL 20 X3 Leverage NR;XBRU;22723.389;23359.004;23359.004;1;20250505;20250506;0;;0;0;0;0;;;;;;;;;0
PAC389915720;06-05-2025;BE0389915720;BE;BEL5S;BEL 20 X5 Short GR;XBRU;150.138;142.996;142.996;1;20250505;20250506;0;;0;0;0;0;;;;;;;;;0
PAC389914715;06-05-2025;BE0389914715;BE;BEL5L;BEL 20 X5 Leverage NR;XBRU;509.178;532.711;532.711;1;20250505;20250506;0;;0;0;0;0;;;;;;;;;0
PAC013504776;06-05-2025;FR0013504776;FR;CSH15;CAC 40 X15 Short GR;XPAR;0.01;0.01;.01;1;20250505;20250506;0;;0;0;0;0;;;;;;;;;1
PAC013504768;06-05-2025;FR0013504768;FR;ALE10;AEX X10 Leverage NR;XPAR;11316.693;11587.921;11587.921;1;20250505;20250506;0;;0;0;0;0;;;;;;;;;0
PAC013504743;06-05-2025;FR0013504743;FR;ALE15;AEX X15 Leverage NR;XPAR;0.01;0.01;.01;1;20250505;20250506;0;;0;0;0;0;;;;;;;;;1
PAC013504735;06-05-2025;FR0013504735;FR;CLE15;CAC 40 X15 Leverage NR;XPAR;0.01;0.01;.01;1;20250505;20250506;0;;0;0;0;0;;;;;;;;;1
PAC013364395;06-05-2025;FR0013364395;FR;CAC7S;CAC 40 X7 Short GR;XPAR;21.837;20.628;20.628;1;20250505;20250506;0;;0;0;0;0;;;;;;;;;0
PAC013362993;06-05-2025;FR0013362993;FR;CA10L;CAC 40 X10 Leverage NR;XPAR;652.308;681.745;681.745;1;20250505;20250506;0;;0;0;0;0;;;;;;;;;0
PAC013362985;06-05-2025;FR0013362985;FR;AEX7S;AEX X7 Short GR;XPAR;63.8;61.823;61.823;1;20250505;20250506;0;;0;0;0;0;;;;;;;;;0
PAC013362878;06-05-2025;FR0013362878;FR;CAC6S;CAC 40 X6 Short GR;XPAR;13.143;12.533;12.533;1;20250505;20250506;0;;0;0;0;0;;;;;;;;;0
