#Symbol;System Date;IsinCode;Country;Mnemo;Name;MIC;t-1 IV;t0 IV;t0 IV unround;nr of days;Previous date;Today's date;Leverage factor;Name of Interest rate;Previous interest rate;Current interest Rate;REPO previous rate;REPO Rate;Previous Spread;Spread;Name of Season;Start date of season;End date of season;Reset Percentage;Underlying Reset Level/Price List;Reset Timestamp Trigger List;Dead Flag
PAC013362860;06-05-2025;FR0013362860;FR;CAC7L;CAC 40 X7 Leverage NR;XPAR;59.758;61.775;61.775;1;20250505;20250506;0;;0;0;0;0;;;;;;;;;0
PAC013362852;06-05-2025;FR0013362852;FR;CAC6L;CAC 40 X6 Leverage NR;XPAR;2497.875;2574.754;2574.754;1;20250505;20250506;0;;0;0;0;0;;;;;;;;;0
PAC013362837;06-05-2025;FR0013362837;FR;CAC4S;CAC 40 X4 Short GR;XPAR;45.206;43.869;43.869;1;20250505;20250506;0;;0;0;0;0;;;;;;;;;0
PAC013362811;06-05-2025;FR0013362811;FR;CAC4L;CAC 40 X4 Leverage NR;XPAR;17364.016;17727.276;17727.276;1;20250505;20250506;0;;0;0;0;0;;;;;;;;;0
PAC013362688;06-05-2025;FR0013362688;FR;CAC3S;CAC 40 X3 Short GR;XPAR;2.808;2.747;2.747;1;20250505;20250506;0;;0;0;0;0;;;;;;;;;0
PAC013362662;06-05-2025;FR0013362662;FR;CAC3L;CAC 40 X3 Leverage NR;XPAR;45178.99;45907.251;45907.251;1;20250505;20250506;0;;0;0;0;0;;;;;;;;;0
PAC013361649;06-05-2025;FR0013361649;FR;CA12S;CAC 40 X12 Short GR;XPAR;570.499;510.225;510.225;1;20250505;20250506;0;;0;0;0;0;;;;;;;;;0
PAC013361573;06-05-2025;FR0013361573;FR;CA10S;CAC 40 X10 Short GR;XPAR;9041.352;8279.504;8279.504;1;20250505;20250506;0;;0;0;0;0;;;;;;;;;0
PAC013361359;06-05-2025;FR0013361359;FR;CAC5L;CAC 40 X5 Leverage NR;XPAR;3116.017;3197.923;3197.923;1;20250505;20250506;0;;0;0;0;0;;;;;;;;;0
PAC013360666;06-05-2025;FR0013360666;FR;CAC5S;CAC 40 X5 Short GR;XPAR;354.781;341.338;341.338;1;20250505;20250506;0;;0;0;0;0;;;;;;;;;0
PAC013186939;06-05-2025;FR0013186939;FR;C12LE;CAC 40 X12 Leverage NR;XPAR;2.696;2.84;2.84;1;20250505;20250506;0;;0;0;0;0;;;;;;;;;0
PAC011936141;06-05-2025;NL0011936141;NL;A12LE;AEX X12 Leverage NR;XAMS;383.596;393.954;393.954;1;20250505;20250506;0;;0;0;0;0;;;;;;;;;0
PAC011515416;06-05-2025;NL0011515416;NL;AE15S;AEX X15 Short GR;XAMS;0.01;0.01;.01;1;20250505;20250506;0;;0;0;0;0;;;;;;;;;1
PAC011515408;06-05-2025;NL0011515408;NL;AE12S;AEX X12 Short GR;XAMS;1298.38;1219.186;1219.186;1;20250505;20250506;0;;0;0;0;0;;;;;;;;;0
PAC011515390;06-05-2025;NL0011515390;NL;AE10S;AEX X10 Short GR;XAMS;125.083;118.97;118.97;1;20250505;20250506;0;;0;0;0;0;;;;;;;;;0
PAC011230222;06-05-2025;QS0011230222;NL;AEX6S;AEX X6 Short GR;XAMS;20.817;20.302;20.302;1;20250505;20250506;0;;0;0;0;0;;;;;;;;;0
PAC011230214;06-05-2025;QS0011230214;NL;AEX5S;AEX X5 Short GR;XAMS;364.704;357.444;357.444;1;20250505;20250506;0;;0;0;0;0;;;;;;;;;0
PAC011230206;06-05-2025;QS0011230206;NL;AEX4S;AEX X4 Short GR;XAMS;35.279;34.737;34.737;1;20250505;20250506;0;;0;0;0;0;;;;;;;;;0
PAC011230198;06-05-2025;QS0011230198;NL;AEX3S;AEX X3 Short GR;XAMS;1.917;1.896;1.896;1;20250505;20250506;0;;0;0;0;0;;;;;;;;;0
PAC011230180;06-05-2025;QS0011230180;NL;AEX7L;AEX X7 Leverage NR;XAMS;46550.042;47419.772;47419.772;1;20250505;20250506;0;;0;0;0;0;;;;;;;;;0
PAC011230172;06-05-2025;QS0011230172;NL;AEX6L;AEX X6 Leverage NR;XAMS;344.758;350.482;350.482;1;20250505;20250506;0;;0;0;0;0;;;;;;;;;0
PAC011230164;06-05-2025;QS0011230164;NL;AEX5L;AEX X5 Leverage NR;XAMS;127655.529;129487.284;129487.284;1;20250505;20250506;0;;0;0;0;0;;;;;;;;;0
PAC011230156;06-05-2025;QS0011230156;NL;AEX4L;AEX X4 Leverage NR;XAMS;251050.991;254042.458;254042.458;1;20250505;20250506;0;;0;0;0;0;;;;;;;;;0
PAC011230115;06-05-2025;QS0011230115;NL;AEX3L;AEX X3 Leverage NR;XAMS;271364.516;273886.538;273886.538;1;20250505;20250506;0;;0;0;0;0;;;;;;;;;0
PAC011216213;06-05-2025;QS0011216213;FR;CACGL;CAC 40 Leverage GR;XPAR;7479.264;7579.744;7579.744;1;20250505;20250506;0;;0;0;0;0;;;;;;;;;0
PAC011216205;06-05-2025;QS0011216205;NL;AEXNL;AEX Leverage NR;XAMS;8302.947;8356.705;8356.705;1;20250505;20250506;0;;0;0;0;0;;;;;;;;;0
PAC011179254;06-05-2025;QS0011179254;PT;PSITL;PSI Leverage GR;XLIS;2663.029;2675.795;2675.795;1;20250505;20250506;0;;0;0;0;0;;;;;;;;;0
PAC011179247;06-05-2025;QS0011179247;BE;BELTL;BEL 20 Leverage GR;XBRU;7658.392;7802.063;7802.063;1;20250505;20250506;0;;0;0;0;0;;;;;;;;;0
PAC011179239;06-05-2025;QS0011179239;NL;AEXTL;AEX Leverage GR;XAMS;9987.377;10052.04;10052.04;1;20250505;20250506;0;;0;0;0;0;;;;;;;;;0
PAC011179221;06-05-2025;QS0011179221;FR;CACTL;CAC 40 Leverage NR;XPAR;5365.625;5425.044;5425.044;1;20250505;20250506;0;;0;0;0;0;;;;;;;;;0
PAC011146964;06-05-2025;QS0011146964;PT;PSI3S;PSI X3 Short GR;XLIS;13.557;13.466;13.466;1;20250505;20250506;0;;0;0;0;0;;;;;;;;;0
PAC011146956;06-05-2025;QS0011146956;PT;PSI2S;PSI X2 Short GR;XLIS;28.161;28.035;28.035;1;20250505;20250506;0;;0;0;0;0;;;;;;;;;0
PAC011146949;06-05-2025;QS0011146949;PT;PSI3L;PSI Triple Leverage;XLIS;984.491;991.543;991.543;1;20250505;20250506;0;;0;0;0;0;;;;;;;;;0
PAC011146931;06-05-2025;QS0011146931;BE;BEL3S;BEL 20 X3 Short GR;XBRU;1.69;1.642;1.642;1;20250505;20250506;0;;0;0;0;0;;;;;;;;;0
PAC011146923;06-05-2025;QS0011146923;BE;BEL2S;BEL 20 X2 Short GR;XBRU;7.504;7.365;7.365;1;20250505;20250506;0;;0;0;0;0;;;;;;;;;0
PAC011146915;06-05-2025;QS0011146915;BE;BEL3L;BEL 20 Triple Leverage;XBRU;5088.479;5231.101;5231.101;1;20250505;20250506;0;;0;0;0;0;;;;;;;;;0
PAC011146899;06-05-2025;QS0011146899;NL;AEX2S;AEX X2 Short GR;XAMS;3.972;3.943;3.943;1;20250505;20250506;0;;0;0;0;0;;;;;;;;;0
PAC011146865;06-05-2025;QS0011146865;FR;CAC2S;CAC 40 X2 Short GR;XPAR;3.699;3.646;3.646;1;20250505;20250506;0;;0;0;0;0;;;;;;;;;0
PAC011100862;06-05-2025;QS0011100862;PT;PSIXB;PSI Xbear GR;XLIS;28.437;28.309;28.309;1;20250505;20250506;0;;0;0;0;0;;;;;;;;;0
PAC011100854;06-05-2025;QS0011100854;NL;AEXXB;AEX Xbear GR;XAMS;4.016;3.987;3.987;1;20250505;20250506;0;;0;0;0;0;;;;;;;;;0
PAC011100847;06-05-2025;QS0011100847;BE;BELXB;BEL 20 Xbear GR;XBRU;7.504;7.364;7.364;1;20250505;20250506;0;;0;0;0;0;;;;;;;;;0
PAC011095948;06-05-2025;QS0011095948;PT;PSISH;PSI Short GR;XLIS;278.464;277.862;277.862;1;20250505;20250506;0;;0;0;0;0;;;;;;;;;0
PAC011095922;06-05-2025;QS0011095922;PT;PSILV;PSI Leverage;XLIS;508.543;510.999;510.999;1;20250505;20250506;0;;0;0;0;0;;;;;;;;;0
PAC011095914;06-05-2025;QS0011095914;NL;AEXSH;AEX Short GR;XAMS;109.804;109.438;109.438;1;20250505;20250506;0;;0;0;0;0;;;;;;;;;0
PAC011095898;06-05-2025;QS0011095898;NL;AEXLV;AEX Leverage;XAMS;2257.431;2272.047;2272.047;1;20250505;20250506;0;;0;0;0;0;;;;;;;;;0
PAC011095880;06-05-2025;QS0011095880;BE;BELSH;BEL 20 Short GR;XBRU;148.577;147.205;147.205;1;20250505;20250506;0;;0;0;0;0;;;;;;;;;0
PAC011095864;06-05-2025;QS0011095864;BE;BELLV;BEL 20 Leverage;XBRU;1621.483;1651.961;1651.961;1;20250505;20250506;0;;0;0;0;0;;;;;;;;;0
PAC011095856;06-05-2025;QS0011095856;FR;CACXB;CAC 40 Xbear GR;XPAR;3.67;3.618;3.618;1;20250505;20250506;0;;0;0;0;0;;;;;;;;;0
PAC011095831;06-05-2025;QS0011095831;FR;CACSH;CAC 40 Short GR;XPAR;112.493;111.721;111.721;1;20250505;20250506;0;;0;0;0;0;;;;;;;;;0
PAC011095815;06-05-2025;QS0011095815;FR;CACLV;CAC 40 Leverage;XPAR;1695.971;1702.742;1702.742;1;20250505;20250506;0;;0;0;0;0;;;;;;;;;0
PAC010661906;06-05-2025;NL0010661906;NL;ITX7S;Italia Leva 7 Short;XAMS;43.659;41.276;41.276;1;20250505;20250506;0;;0;0;0;0;;;;;;;;;0
PAC010661898;06-05-2025;NL0010661898;NL;ITX7L;Italia Leva 7 Long;XAMS;13792.825;14413.652;14413.652;1;20250505;20250506;0;;0;0;0;0;;;;;;;;;0
PAC00B2QF4Y48;06-05-2025;IE00B2QF4Y48;IE;ISELV;ISEQ 20 Leverage;XDUB;10886.554;11132.199;11132.199;1;20250505;20250506;0;;0;0;0;0;;;;;;;;;0
PACNO0220004;06-05-2025;PTINO0220004;PT;PS3LN;PSI X3 Leverage NR;XLIS;8717.628;8779.555;8779.555;1;20250505;20250506;0;;0;0;0;0;;;;;;;;;0
