#Symbol;System Date;IsinCode;Country;Mnemo;Name;MIC;t-1 IV;t0 IV;t0 IV unround;nr of days;Previous date;Today's date;Leverage factor;Name of Interest rate;Previous interest rate;Current interest Rate;REPO previous rate;REPO Rate;Previous Spread;Spread;Name of Season;Start date of season;End date of season;Reset Percentage;Underlying Reset Level/Price List;Reset Timestamp Trigger List;Dead Flag
QS0011095948;05-05-2025;QS0011095948;PT;PSISH;PSI Short GR;XLIS;278.145;276.878;276.87839613;3;20250502;20250505;1;ESTER;0.02156;0.02168;0.002;0.002;;;;;;25.000000;;;0
QS0011095922;05-05-2025;QS0011095922;PT;PSILV;PSI Leverage;XLIS;509.717;514.605;514.60473721;3;20250502;20250505;2;ESTER;0.02156;0.02168;0;0;0.003;0.003;;;;-25.000000;;;0
QS0011095914;05-05-2025;QS0011095914;NL;AEXSH;AEX Short GR;XAMS;109.135;109.317;109.3171597;3;20250502;20250505;1;ESTER;0.02156;0.02168;0.002;0.002;;;;;;25.000000;;;0
QS0011095898;05-05-2025;QS0011095898;NL;AEXLV;AEX Leverage;XAMS;2283.653;2277.111;2277.11138092;3;20250502;20250505;2;ESTER;0.02156;0.02168;0;0;0.003;0.003;;;;-25.000000;;;0
QS0011095880;05-05-2025;QS0011095880;BE;BELSH;BEL 20 Short GR;XBRU;147.897;147.161;147.16127717;3;20250502;20250505;1;ESTER;0.02156;0.02168;0.002;0.002;;;;;;25.000000;;;0
QS0011095864;05-05-2025;QS0011095864;BE;BELLV;BEL 20 Leverage;XBRU;1635.87;1652.93;1652.93004205;3;20250502;20250505;2;ESTER;0.02156;0.02168;0;0;0.003;0.003;;;;-25.000000;;;0
QS0011095856;05-05-2025;QS0011095856;FR;CACXB;CAC 40 Xbear GR;XPAR;3.61;3.618;3.61752583;3;20250502;20250505;2;ESTER;0.02156;0.02168;0.002;0.002;;;;;;25.000000;;;0
QS0011095831;05-05-2025;QS0011095831;FR;CACSH;CAC 40 Short GR;XPAR;111.576;111.707;111.70686404;3;20250502;20250505;1;ESTER;0.02156;0.02168;0.002;0.002;;;;;;25.000000;;;0
QS0011095815;05-05-2025;QS0011095815;FR;CACLV;CAC 40 Leverage;XPAR;1722.379;1703.165;1703.16534028;3;20250502;20250505;2;ESTER;0.02156;0.02168;0;0;0.003;0.003;;;;-25.000000;;;0
PTINO0220004;05-05-2025;PTINO0220004;PT;PS3LN;PSI X3 Leverage NR;XLIS;8747.44;8872.37;8872.37017957;3;20250502;20250505;3;ESTER;0.02156;0.02168;0;0;0.003;0.003;;;;-25.000000;;;0
