#Symbol;System Date;Change;IsinCode;Country;Mnemo;Name;MIC;Divisor;t-1 IV;t0 IV;t0 IV unround;Mkt Cap;Nr of components;Curr;FX;ISIN Underlying Price Index;ISIN Gross Return version;ISIN Net Return version;Effect Gross Total Return;Effect Net Total Return ;Stocks Effect Index;Dividend Currency Type;Calculation Type;Index Type;Return Method;Return Value;Number Of Days;Yearly Days
QS0011225404;18-07-2025;;QS0011225404;NL;NLCGG;AEX Consumer Discretionary GR;XAMS;;7048.470000;7087.590000;7087.5907619900000000;;;;;QS0011016530;;;0.000000000000000000;;;ECB;TR1;Indices
QS0011225396;18-07-2025;;QS0011225396;NL;NLBMG;AEX Basic Materials GR;XAMS;;2210.540000;2196.640000;2196.6439770500000000;;;;;QS0011016480;;;0.000000000000000000;;;ECB;TR1;Indices
QS0011225370;18-07-2025;;QS0011225370;BE;BELCP;BEL Continuous Stocks Index;XBRU;17771481.924468800000000;39415.190000;39541.300000;39541.2984610300000000;702707470870.2440000000000;107;EUR;1;;;BE0389552978;;;;ECB;EU Price;Indices
QS0011225222;18-07-2025;;QS0011225222;BE;BECGP;BEL Consumer Discretionary;XBRU;1407730.958642020000000;7855.570000;7838.900000;7838.8955491100000000;11035055946.0500000000000;5;EUR;1;;;QS0011016761;;;;ECB;EU Price;Indices
QS0011225214;18-07-2025;;QS0011225214;BE;BEINP;BEL Industrials;XBRU;32105345.262339900000000;1987.440000;1990.430000;1990.4332042000000000;63903545242.5740000000000;15;EUR;1;;;QS0011016738;;;;ECB;EU Price;Indices
QS0011225206;18-07-2025;;QS0011225206;BE;BEHCP;BEL Health Care;XBRU;16195481.974448500000000;4599.770000;4617.160000;4617.1613666500000000;74777153686.6578000000000;14;EUR;1;;;QS0011016795;;;;ECB;EU Price;Indices
QS0011225198;18-07-2025;;QS0011225198;BE;BETEP;BEL Telecommunications;XBRU;11082413.979975400000000;418.500000;402.250000;402.2525290600000000;4457929051.4954000000000;4;EUR;1;;;QS0011016860;;;;ECB;EU Price;Indices
QS0011225180;18-07-2025;;QS0011225180;BE;BEFIP;BEL Financials;XBRU;143769795.570993000000000;1109.810000;1118.950000;1118.9462304700000000;160870670809.3710000000000;15;EUR;1;;;QS0011016902;;;;ECB;EU Price;Indices
QS0011225172;18-07-2025;;QS0011225172;BE;BETP;BEL Technology;XBRU;2981608.438485350000000;1687.100000;1656.350000;1656.3480513000000000;4938581326.8250000000000;6;EUR;1;;;QS0011016936;;;;ECB;EU Price;Indices
QS0011225164;18-07-2025;;QS0011225164;BE;BEUTP;BEL Utilities;XBRU;52315887.263467300000000;1111.790000;1118.440000;1118.4392161600000000;58512139943.6050000000000;3;EUR;1;;;QS0011019005;;;;ECB;EU Price;Indices
QS0011225156;18-07-2025;;QS0011225156;BE;BECSP;BEL Consumer Staples;XBRU;48997232.157756200000000;3069.920000;3072.220000;3072.2178783500000000;150530172624.6700000000000;13;EUR;1;;;QS0011016829;;;;ECB;EU Price;Indices
QS0011225065;18-07-2025;;QS0011225065;PT;PTTEP;PSI Technology;XLIS;382499.446829186000000;1072.660000;1056.270000;1056.2719354200000000;404023431.0000000000000;2;EUR;1;;QS0011016688;;;;;ECB;EU Price;Indices
QS0011225057;18-07-2025;;QS0011225057;PT;PTFIP;PSI Financials;XLIS;47303899.080242600000000;212.280000;215.150000;215.1506768500000000;10177465904.9344000000000;2;EUR;1;;QS0011016662;;;;;ECB;EU Price;Indices
QS0011225040;18-07-2025;;QS0011225040;PT;PTUTP;PSI Utilities;XLIS;25288945.451523300000000;1131.010000;1121.020000;1121.0165696800000000;28349326880.8160000000000;3;EUR;1;;QS0011016647;;;;;ECB;EU Price;Indices
QS0011225032;18-07-2025;;QS0011225032;PT;PTTLP;PSI Telecommunications;XLIS;26609995.111644500000000;110.220000;109.620000;109.6192686200000000;2916968202.1400000000000;4;EUR;1;;QS0011016621;;;;;ECB;EU Price;Indices
QS0011225024;18-07-2025;;QS0011225024;PT;PTCSP;PSI Consumer Staples;XLIS;6783548.736853470000000;2444.240000;2442.390000;2442.3893333600000000;16568067077.2000000000000;2;EUR;1;;QS0011016597;;;;;ECB;EU Price;Indices
QS0011225016;18-07-2025;;QS0011225016;PT;PTCGP;PSI Consumer Discretionary;XLIS;202477.814710816000000;6027.530000;5981.830000;5981.8283547300000000;1211187533.2400000000000;9;EUR;1;;QS0011016571;;;;;ECB;EU Price;Indices
QS0011225008;18-07-2025;;QS0011225008;PT;PTINP;PSI Industrials;XLIS;6496273.030338150000000;575.810000;571.650000;571.6476833200000000;3713579428.0000000000000;5;EUR;1;;QS0011016522;;;;;ECB;EU Price;Indices
QS0011224993;18-07-2025;;QS0011224993;PT;PTBMP;PSI Basic Materials;XLIS;2039158.249166790000000;2421.270000;2389.160000;2389.1612850100000000;4871877942.9240000000000;4;EUR;1;;QS0011016514;;;;;ECB;EU Price;Indices
QS0011224977;18-07-2025;;QS0011224977;NL;AAXG;AEX All-Share Index GR;XAMS;;4921.280000;4910.730000;4910.7288209900000000;;;;;NL0000249100;;;0.012029158026220000;;NL0012365084;ECB;TR1;Indices
QS0011224944;18-07-2025;;QS0011224944;NL;NLTLG;AEX Telecommunications GR;XAMS;;4070.630000;4088.590000;4088.5891546700000000;;;;;QS0011016589;;;0.000000000000000000;;;ECB;TR1;Indices
QS0011224936;18-07-2025;;QS0011224936;NL;NLTCG;AEX Technology GR;XAMS;;13052.120000;12907.010000;12907.0123243800000000;;;;;QS0011016613;;;0.000000000000000000;;;ECB;TR1;Indices
QS0011224910;18-07-2025;;QS0011224910;BE;BEBMP;BEL Basic Materials;XBRU;25067534.294978900000000;1112.420000;1112.540000;1112.5417205300000000;27888677733.9370000000000;14;EUR;1;;;QS0011016696;;;;ECB;EU Price;Indices
QS0011224829;18-07-2025;;QS0011224829;NL;NLOGG;AEX Energy GR;XAMS;;2910.580000;2915.600000;2915.5982401900000000;;;;;QS0011016472;;;0.000000000000000000;;;ECB;TR1;Indices
QS0011224662;18-07-2025;;QS0011224662;NL;NLING;AEX Industrials GR;XAMS;;4324.080000;4326.630000;4326.6266773700000000;;;;;QS0011016506;;;0.000000000000000000;;;ECB;TR1;Indices
QS0011224589;18-07-2025;;QS0011224589;NL;NLHCG;AEX Health Care GR;XAMS;;1780.600000;1785.340000;1785.3381378600000000;;;;;QS0011016555;;;0.000000000000000000;;;ECB;TR1;Indices
QS0011224571;18-07-2025;;QS0011224571;FR;FRINN;CAC Industrials NR;XPAR;;5452.600000;5470.470000;5470.4656100600000000;;;;;QS0011017652;;;;0.00000000000000000;;ECB;TR1;Indices
QS0011224522;18-07-2025;;QS0011224522;NL;NLFNG;AEX Financials GR;XAMS;;1870.530000;1883.610000;1883.6080096100000000;;;;;QS0011016605;;;0.000000000000000000;;;ECB;TR1;Indices
QS0011224498;18-07-2025;;QS0011224498;FR;FRHCN;CAC Health Care NR;XPAR;;3210.200000;3199.710000;3199.7097441900000000;;;;;QS0011017702;;;;0.00000000000000000;;ECB;TR1;Indices
QS0011224373;18-07-2025;;QS0011224373;FR;FRFNN;CAC Financials NR;XPAR;;2453.100000;2472.400000;2472.4028397500000000;;;;;QS0011017801;;;;0.00000000000000000;;ECB;TR1;Indices
QS0011224308;18-07-2025;;QS0011224308;PT;BVL;PSI All-Share Index;XLIS;46521849.898447600000000;1708.990000;1703.400000;1703.3988498100000000;79245265608.1794000000000;32;EUR;1;;PTING1000005;;;;;ECB;EU Price;Indices
QS0011224290;18-07-2025;;QS0011224290;FR;FRCSN;CAC Consumer Staples NR;XPAR;;1380.480000;1390.700000;1390.7022221900000000;;;;;QS0011017736;;;;0.00000000000000000;;ECB;TR1;Indices
QS0011224274;18-07-2025;;QS0011224274;FR;N150G;Next 150 Index GR;XPAR;;7462.570000;7590.420000;7590.4192670100000000;;;;;FR0003502087;;;0.000000000000000000;;;ECB;TR1;Indices
QS0011224258;18-07-2025;;QS0011224258;FR;N100G;Euronext 100 Index GR;XPAR;;3473.360000;3476.870000;3476.8730347300000000;;;;;FR0003502079;;;0.126661949244110000;;NO0010345853;ECB;TR1;Indices
QS0011224233;18-07-2025;;QS0011224233;FR;CN20G;CAC Next 20 GR;XPAR;;23165.880000;23384.700000;23384.7030185900000000;;;;;QS0010989109;;;0.000000000000000000;;;ECB;TR1;Indices
QS0011224217;18-07-2025;;QS0011224217;FR;PAXNR;CAC All-Share Index NR;XPAR;;15701.320000;15699.140000;15699.1440361000000000;;;;;QS0010989141;;;;0.00000000000000000;;ECB;TR1;Indices
QS0011224092;18-07-2025;;QS0011224092;FR;CN20N;CAC Next 20 NR;XPAR;;19873.760000;20061.490000;20061.4861010400000000;;;;;QS0010989109;;;;0.00000000000000000;;ECB;TR1;Indices
