#Symbol;System Date;Change;IsinCode;Country;Mnemo;Name;MIC;Divisor;t-1 IV;t0 IV;t0 IV unround;Mkt Cap;Nr of components;Curr;FX;ISIN Underlying Price Index;ISIN Gross Return version;ISIN Net Return version;Effect Gross Total Return;Effect Net Total Return ;Stocks Effect Index;Dividend Currency Type;Calculation Type;Index Type;Return Method;Return Value;Number Of Days;Yearly Days;Dead Flag;Rate Name
QS0011256250;25-06-2025;;QS0011256250;NL;ENVBG;Euronext Sustainable Benelux 20 GR Index;XAMS;;3644.88;3593.76;3593.75561969;;;;;QS0011256235;;;0;;;ECB;TR1;Indices;;;;;0;
QS0011256243;25-06-2025;;QS0011256243;NL;ENVBN;Euronext Sustainable Benelux 20 NR Index;XAMS;;3328.45;3281.77;3281.77115213;;;;;QS0011256235;;;;0;;ECB;TR1;Indices;;;;;0;
QS0011256235;25-06-2025;;QS0011256235;NL;ENVB;Euronext Sustainable Benelux 20 Index;XAMS;885.962564982093;2227.07;2195.83;2195.83304752;1945425.87905035;20;EUR;1;;QS0011256250;QS0011256243;;;;ECB;EU Price;Indices;;;;;0;
QS0011256227;25-06-2025;;QS0011256227;NL;ENVOG;Euronext Sustainable Euro 120 GR Index;XAMS;;3441.25;3410.66;3410.66257207;;;;;QS0011256201;;;0;;;ECB;TR1;Indices;;;;;0;
QS0011256219;25-06-2025;;QS0011256219;NL;ENVON;Euronext Sustainable Euro 120 NR Index;XAMS;;3019.91;2993.07;2993.07229741;;;;;QS0011256201;;;;0;;ECB;TR1;Indices;;;;;0;
QS0011256201;25-06-2025;;QS0011256201;NL;ENVEO;Euronext Sustainable Euro 120 Index;XAMS;817.751645469539;2041.26;2023.12;2023.1212926;1654410.76600539;120;EUR;1;;QS0011256227;QS0011256219;;;;ECB;EU Price;Indices;;;;;0;
QS0011250956;25-06-2025;;QS0011250956;NL;ENVUG;Euronext Sustainable UK 20 GR Index;XAMS;;2024.85;2002.78;2002.77526081;;;;;QS0011250931;;;0;;;ECB;TR1;Indices;;;;;0;
QS0011250949;25-06-2025;;QS0011250949;NL;ENVUN;Euronext Sustainable UK 20 NR Index;XAMS;;1995.49;1973.74;1973.73981946;;;;;QS0011250931;;;;0;;ECB;TR1;Indices;;;;;0;
QS0011250931;25-06-2025;;QS0011250931;NL;ENVUK;Euronext Sustainable UK 20 Index;XAMS;76177.3820347972;1204.25;1191.12;1191.12201697;90736556.936775;21;GBX;1;;QS0011250956;QS0011250949;;;;ECB;EU Price;Indices;;;;;0;
QS0011250923;25-06-2025;;QS0011250923;NL;ENVFG;Euronext Sustainable France 20 GR Index;XAMS;;2529.30;2513.9;2513.90222094;;;;;QS0011250907;;;0;;;ECB;TR1;Indices;;;;;0;
QS0011250915;25-06-2025;;QS0011250915;NL;ENVFN;Euronext Sustainable France 20 NR Index;XAMS;;2176.48;2163.22;2163.22372105;;;;;QS0011250907;;;;0;;ECB;TR1;Indices;;;;;0;
QS0011250907;25-06-2025;;QS0011250907;NL;ENVF;Euronext Sustainable France 20 Index;XAMS;807.56894193538;1485.58;1476.54;1476.53509182;1192403.88183185;20;EUR;1;;QS0011250923;QS0011250915;;;;ECB;EU Price;Indices;;;;;0;
QS0011250899;25-06-2025;;QS0011250899;NL;ENVEG;Euronext Sustainable Europe 120 GR Index;XAMS;;3274.44;3244.67;3244.66740036;;;;;QS0011250873;;;0;;;ECB;TR1;Indices;;;;;0;
QS0011250881;25-06-2025;;QS0011250881;NL;ENVEN;Euronext Sustainable Europe 120 NR Index;XAMS;;2920.04;2893.5;2893.49511817;;;;;QS0011250873;;;;0;;ECB;TR1;Indices;;;;;0;
QS0011250873;25-06-2025;;QS0011250873;NL;ENVEU;Euronext Sustainable Europe 120 Index;XAMS;864.428780948808;1936.49;1918.89;1918.8863142;1658740.55736322;121;EUR;1;;QS0011250899;QS0011250881;;;;ECB;EU Price;Indices;;;;;0;
QS0011249503;25-06-2025;;QS0011249503;PT;PTOGP;PSI Energy;XLIS;8178087.9852;1294.22;1304.85;1304.84693878;10671153072.525;1;EUR;1;;QS0011249495;;;;;ECB;EU Price;Indices;;;;;0;
QS0011249495;25-06-2025;;QS0011249495;PT;PTOG;PSI Energy GR;XLIS;;2109.50;2126.83;2126.82560257;;;;;QS0011249503;;;0;;;ECB;TR1;Indices;;;;;0;
QS0011249248;25-06-2025;;QS0011249248;BE;BEOGP;BEL Energy;XBRU;83225706.8677281;1441.99;1435.92;1435.92232853;119505650799.12;2;EUR;1;;;QS0011249230;;;;ECB;EU Price;Indices;;;;;0;
QS0011249230;25-06-2025;;QS0011249230;BE;BEOG;BEL Energy NR;XBRU;;2405.28;2395.15;2395.14722896;;;;;QS0011249248;;;;0;;ECB;TR1;Indices;;;;;0;
QS0011227186;25-06-2025;;QS0011227186;FR;ALASG;Euronext Growth All-Share Index GR;XPAR;;1139.38;1135.36;1135.36294609;;;;;QS0011040902;;;0;;;ECB;TR1;Indices;;;;;0;
QS0011227178;25-06-2025;;QS0011227178;FR;ALASN;Euronext Growth All-Share Index NR;XPAR;;1089.72;1085.88;1085.87824145;;;;;QS0011040902;;;;0;;ECB;TR1;Indices;;;;;0;
QS0011225420;25-06-2025;;QS0011225420;NL;NLCSG;AEX Consumer Staples GR;XAMS;;5070.16;4957.55;4957.55054965;;;;;QS0011016563;;;0;;;ECB;TR1;Indices;;;;;0;
QS0011225404;25-06-2025;;QS0011225404;NL;NLCGG;AEX Consumer Discretionary GR;XAMS;;7063.75;6895.92;6895.92464757;;;;;QS0011016530;;;0;;;ECB;TR1;Indices;;;;;0;
QS0011225396;25-06-2025;;QS0011225396;NL;NLBMG;AEX Basic Materials GR;XAMS;;2146.13;2136.03;2136.03008309;;;;;QS0011016480;;;0;;;ECB;TR1;Indices;;;;;0;
QS0011225370;25-06-2025;;QS0011225370;BE;BELCP;BEL Continuous Stocks Index;XBRU;17819845.9049745;39094.99;38727.74;38727.7357388;690122283113.9991;107;EUR;1;;;BE0389552978;;;;ECB;EU Price;Indices;;;;;0;
QS0011225222;25-06-2025;;QS0011225222;BE;BECGP;BEL Consumer Discretionary;XBRU;1420306.52087371;7898.54;7850.97;7850.97440783;11150790146.65;6;EUR;1;;;QS0011016761;;;;ECB;EU Price;Indices;;;;;0;
QS0011225214;25-06-2025;;QS0011225214;BE;BEINP;BEL Industrials;XBRU;32105188.7037181;1935.48;1917.67;1917.67151576;61567205885.33;15;EUR;1;;;QS0011016738;;;;ECB;EU Price;Indices;;;;;0;
QS0011225206;25-06-2025;;QS0011225206;BE;BEHCP;BEL Health Care;XBRU;16180531.8520072;4458.51;4486.2;4486.19551822;72589029476.8246;14;EUR;1;;;QS0011016795;;;;ECB;EU Price;Indices;;;;;0;
