#Symbol;System Date;Change;IsinCode;Country;Mnemo;Name;MIC;Divisor;t-1 IV;t0 IV;t0 IV unround;Mkt Cap;Nr of components;Curr;FX;ISIN Underlying Price Index;ISIN Gross Return version;ISIN Net Return version;Effect Gross Total Return;Effect Net Total Return ;Stocks Effect Index;Dividend Currency Type;Calculation Type;Index Type;Return Method;Return Value;Number Of Days;Yearly Days;Dead Flag;Rate Name
QS0011256250;02-10-2025;;QS0011256250;NL;ENVBG;Euronext Sustainable Benelux 20 GR Index;XAMS;;3759.640000;3786.030000;3786.0330385800000000;;;;;QS0011256235;;;0.000000000000000000;;;ECB;TR1;Indices;;;;;0
QS0011256243;02-10-2025;;QS0011256243;NL;ENVBN;Euronext Sustainable Benelux 20 NR Index;XAMS;;3432.140000;3456.240000;3456.2350001600000000;;;;;QS0011256235;;;;0.00000000000000000;;ECB;TR1;Indices;;;;;0
QS0011256235;02-10-2025;;QS0011256235;NL;ENVB;Euronext Sustainable Benelux 20 Index;XAMS;885.321254812050000;2291.480000;2307.570000;2307.5702733800000000;2042941.0100000000000;20;EUR;1;;QS0011256250;QS0011256243;;;;ECB;EU Price;Indices;;;;;0
QS0011256227;02-10-2025;;QS0011256227;NL;ENVOG;Euronext Sustainable Euro 120 GR Index;XAMS;;3560.220000;3574.880000;3574.8842424100000000;;;;;QS0011256201;;;0.000000000000000000;;;ECB;TR1;Indices;;;;;0
QS0011256219;02-10-2025;;QS0011256219;NL;ENVON;Euronext Sustainable Euro 120 NR Index;XAMS;;3121.720000;3134.580000;3134.5849830700000000;;;;;QS0011256201;;;;0.00000000000000000;;ECB;TR1;Indices;;;;;0
QS0011256201;02-10-2025;;QS0011256201;NL;ENVEO;Euronext Sustainable Euro 120 Index;XAMS;818.606843505572000;2103.040000;2111.700000;2111.6993544800000000;1728651.5430000000000;120;EUR;1;;QS0011256227;QS0011256219;;;;ECB;EU Price;Indices;;;;;0
QS0011250956;02-10-2025;;QS0011250956;NL;ENVUG;Euronext Sustainable UK 20 GR Index;XAMS;;2024.800000;2020.870000;2020.8706312400000000;;;;;QS0011250931;;;0.000000000000000000;;;ECB;TR1;Indices;;;;;0
QS0011250949;02-10-2025;;QS0011250949;NL;ENVUN;Euronext Sustainable UK 20 NR Index;XAMS;;1994.850000;1990.970000;1990.9720096800000000;;;;;QS0011250931;;;;0.00000000000000000;;ECB;TR1;Indices;;;;;0
QS0011250931;02-10-2025;;QS0011250931;NL;ENVUK;Euronext Sustainable UK 20 Index;XAMS;75737.398071098800000;1197.340000;1195.010000;1195.0145648700000000;90507293.8000000000000;20;GBX;1;;QS0011250956;QS0011250949;;;;ECB;EU Price;Indices;;;;;0
QS0011250923;02-10-2025;;QS0011250923;NL;ENVFG;Euronext Sustainable France 20 GR Index;XAMS;;2568.060000;2599.760000;2599.7576771300000000;;;;;QS0011250907;;;0.000000000000000000;;;ECB;TR1;Indices;;;;;0
QS0011250915;02-10-2025;;QS0011250915;NL;ENVFN;Euronext Sustainable France 20 NR Index;XAMS;;2208.110000;2235.370000;2235.3657478600000000;;;;;QS0011250907;;;;0.00000000000000000;;ECB;TR1;Indices;;;;;0
QS0011250907;02-10-2025;;QS0011250907;NL;ENVF;Euronext Sustainable France 20 Index;XAMS;781.071650981856000;1503.570000;1522.130000;1522.1322752300000000;1188894.3692275000000;20;EUR;1;;QS0011250923;QS0011250915;;;;ECB;EU Price;Indices;;;;;0
QS0011250899;02-10-2025;;QS0011250899;NL;ENVEG;Euronext Sustainable Europe 120 GR Index;XAMS;;3326.240000;3334.360000;3334.3640088900000000;;;;;QS0011250873;;;0.000000000000000000;;;ECB;TR1;Indices;;;;;0
QS0011250881;02-10-2025;;QS0011250881;NL;ENVEN;Euronext Sustainable Europe 120 NR Index;XAMS;;2963.790000;2971.030000;2971.0307673300000000;;;;;QS0011250873;;;;0.00000000000000000;;ECB;TR1;Indices;;;;;0
QS0011250873;02-10-2025;;QS0011250873;NL;ENVEU;Euronext Sustainable Europe 120 Index;XAMS;863.927910164464000;1957.660000;1962.450000;1962.4457918000000000;1695411.6917171500000;120;EUR;1;;QS0011250899;QS0011250881;;;;ECB;EU Price;Indices;;;;;0
QS0011249503;02-10-2025;;QS0011249503;PT;PTOGP;PSI Energy;XLIS;8178087.985200000000000;1413.690000;1408.590000;1408.5884353700000000;11519560159.4250000000000;1;EUR;1;;QS0011249495;;;;;ECB;EU Price;Indices;;;;;0
QS0011249495;02-10-2025;;QS0011249495;PT;PTOG;PSI Energy GR;XLIS;;2348.640000;2340.170000;2340.1666339600000000;;;;;QS0011249503;;;0.000000000000000000;;;ECB;TR1;Indices;;;;;0
QS0011249248;02-10-2025;;QS0011249248;BE;BEOGP;BEL Energy;XBRU;81008117.554245100000000;1417.030000;1400.090000;1400.0877783800000000;113418475336.9400000000000;3;EUR;1;;;QS0011249230;;;;ECB;EU Price;Indices;;;;;0
QS0011249230;02-10-2025;;QS0011249230;BE;BEOG;BEL Energy NR;XBRU;;2392.590000;2363.990000;2363.9932691000000000;;;;;QS0011249248;;;;0.00000000000000000;;ECB;TR1;Indices;;;;;0
QS0011227186;02-10-2025;;QS0011227186;FR;ALASG;Euronext Growth All-Share Index GR;XPAR;;1180.370000;1184.160000;1184.1611129900000000;;;;;QS0011040902;;;0.238207079522269000;;FR0012419307;ECB;TR1;Indices;;;;;0
