#Symbol;System Date;Change;IsinCode;Country;Mnemo;Name;MIC;Divisor;t-1 IV;t0 IV;t0 IV unround;Mkt Cap;Nr of components;Curr;FX;ISIN Underlying Price Index;ISIN Gross Return version;ISIN Net Return version;Effect Gross Total Return;Effect Net Total Return ;Stocks Effect Index;Dividend Currency Type;Calculation Type;Index Type;Return Method;Return Value;Number Of Days;Yearly Days;Dead Flag;Rate Name
QS0011256250;20-08-2025;;QS0011256250;NL;ENVBG;Euronext Sustainable Benelux 20 GR Index;XAMS;;3701.52;3712;3712.00208713;;;;;QS0011256235;;;0;;;ECB;TR1;Indices;;;;;0;
QS0011256243;20-08-2025;;QS0011256243;NL;ENVBN;Euronext Sustainable Benelux 20 NR Index;XAMS;;3379.75;3389.32;3389.31747923;;;;;QS0011256235;;;;0;;ECB;TR1;Indices;;;;;0;
QS0011256235;20-08-2025;;QS0011256235;NL;ENVB;Euronext Sustainable Benelux 20 Index;XAMS;885.32125481205;2259.01;2265.41;2265.40989398;2005615.53;20;EUR;1;;QS0011256250;QS0011256243;;;;ECB;EU Price;Indices;;;;;0;
QS0011256227;20-08-2025;;QS0011256227;NL;ENVOG;Euronext Sustainable Euro 120 GR Index;XAMS;;3589.38;3593.43;3593.42645139;;;;;QS0011256201;;;0;;;ECB;TR1;Indices;;;;;0;
QS0011256219;20-08-2025;;QS0011256219;NL;ENVON;Euronext Sustainable Euro 120 NR Index;XAMS;;3147.88;3151.43;3151.42977603;;;;;QS0011256201;;;;0;;ECB;TR1;Indices;;;;;0;
QS0011256201;20-08-2025;;QS0011256201;NL;ENVEO;Euronext Sustainable Euro 120 Index;XAMS;818.898599051075;2122.58;2124.98;2124.97563681;1740139.572;120;EUR;1;;QS0011256227;QS0011256219;;;;ECB;EU Price;Indices;;;;;0;
QS0011250956;20-08-2025;;QS0011250956;NL;ENVUG;Euronext Sustainable UK 20 GR Index;XAMS;;1996.97;2020.57;2020.57010055;;;;;QS0011250931;;;0;;;ECB;TR1;Indices;;;;;0;
QS0011250949;20-08-2025;;QS0011250949;NL;ENVUN;Euronext Sustainable UK 20 NR Index;XAMS;;1967.66;1990.91;1990.90735037;;;;;QS0011250931;;;;0;;ECB;TR1;Indices;;;;;0;
QS0011250931;20-08-2025;;QS0011250931;NL;ENVUK;Euronext Sustainable UK 20 Index;XAMS;75737.3980710988;1182.36;1196.34;1196.33561632;90607346.8;20;GBX;1;;QS0011250956;QS0011250949;;;;ECB;EU Price;Indices;;;;;0;
QS0011250923;20-08-2025;;QS0011250923;NL;ENVFG;Euronext Sustainable France 20 GR Index;XAMS;;2563.69;2565.37;2565.37332664;;;;;QS0011250907;;;0;;;ECB;TR1;Indices;;;;;0;
