#Symbol;System Date;Change;IsinCode;Country;Mnemo;Name;MIC;Divisor;t-1 IV;t0 IV;t0 IV unround;Mkt Cap;Nr of components;Curr;FX;ISIN Underlying Price Index;ISIN Gross Return version;ISIN Net Return version;Effect Gross Total Return;Effect Net Total Return ;Stocks Effect Index;Dividend Currency Type;Calculation Type;Index Type;Return Method;Return Value;Number Of Days;Yearly Days;Dead Flag;Rate Name
QS0011256250;14-11-2025;;QS0011256250;NL;ENVBG;Euronext Sustainable Benelux 20 GR Index;XAMS;;3719.89;3691.22;3691.22413082;;;;;QS0011256235;;;0;;;ECB;TR1;Indices;;;;;0;
QS0011256243;14-11-2025;;QS0011256243;NL;ENVBN;Euronext Sustainable Benelux 20 NR Index;XAMS;;3395.03;3368.87;3368.87240803;;;;;QS0011256235;;;;0;;ECB;TR1;Indices;;;;;0;
QS0011256235;14-11-2025;;QS0011256235;NL;ENVB;Euronext Sustainable Benelux 20 Index;XAMS;885.32125481205;2264.77;2247.32;2247.3190937;1989599.36;20;EUR;1;;QS0011256250;QS0011256243;;;;ECB;EU Price;Indices;;;;;0;
QS0011256227;14-11-2025;;QS0011256227;NL;ENVOG;Euronext Sustainable Euro 120 GR Index;XAMS;;3599.41;3562.61;3562.60713218;;;;;QS0011256201;;;0;;;ECB;TR1;Indices;;;;;0;
QS0011256219;14-11-2025;;QS0011256219;NL;ENVON;Euronext Sustainable Euro 120 NR Index;XAMS;;3155.38;3123.12;3123.12104931;;;;;QS0011256201;;;;0;;ECB;TR1;Indices;;;;;0;
QS0011256201;14-11-2025;;QS0011256201;NL;ENVEO;Euronext Sustainable Euro 120 Index;XAMS;818.515560390412;2124.32;2102.61;2102.60666783;1721016.275;120;EUR;1;;QS0011256227;QS0011256219;;;;ECB;EU Price;Indices;;;;;0;
QS0011250956;14-11-2025;;QS0011250956;NL;ENVUG;Euronext Sustainable UK 20 GR Index;XAMS;;2036.16;2002.08;2002.08110256;;;;;QS0011250931;;;0;;;ECB;TR1;Indices;;;;;0;
QS0011250949;14-11-2025;;QS0011250949;NL;ENVUN;Euronext Sustainable UK 20 NR Index;XAMS;;2005.67;1972.1;1972.10386486;;;;;QS0011250931;;;;0;;ECB;TR1;Indices;;;;;0;
QS0011250931;14-11-2025;;QS0011250931;NL;ENVUK;Euronext Sustainable UK 20 Index;XAMS;75737.3980710988;1198.90;1178.84;1178.83605291;89281975.4;20;GBX;1;;QS0011250956;QS0011250949;;;;ECB;EU Price;Indices;;;;;0;
QS0011250923;14-11-2025;;QS0011250923;NL;ENVFG;Euronext Sustainable France 20 GR Index;XAMS;;2624.83;2604.04;2604.04054843;;;;;QS0011250907;;;0;;;ECB;TR1;Indices;;;;;0;
QS0011250915;14-11-2025;;QS0011250915;NL;ENVFN;Euronext Sustainable France 20 NR Index;XAMS;;2256.69;2238.82;2238.81607724;;;;;QS0011250907;;;;0;;ECB;TR1;Indices;;;;;0;
QS0011250907;14-11-2025;;QS0011250907;NL;ENVF;Euronext Sustainable France 20 Index;XAMS;781.071650981856;1536.17;1524.01;1524.00729956;1190358.89757786;20;EUR;1;;QS0011250923;QS0011250915;;;;ECB;EU Price;Indices;;;;;0;
QS0011250899;14-11-2025;;QS0011250899;NL;ENVEG;Euronext Sustainable Europe 120 GR Index;XAMS;;3368.38;3325.11;3325.10547766;;;;;QS0011250873;;;0;;;ECB;TR1;Indices;;;;;0;
QS0011250881;14-11-2025;;QS0011250881;NL;ENVEN;Euronext Sustainable Europe 120 NR Index;XAMS;;3000.90;2962.35;2962.34910559;;;;;QS0011250873;;;;0;;ECB;TR1;Indices;;;;;0;
QS0011250873;14-11-2025;;QS0011250873;NL;ENVEU;Euronext Sustainable Europe 120 Index;XAMS;863.837371708087;1979.02;1953.6;1953.6000887;1687592.76598956;120;EUR;1;;QS0011250899;QS0011250881;;;;ECB;EU Price;Indices;;;;;0;
QS0011249503;14-11-2025;;QS0011249503;PT;PTOGP;PSI Energy;XLIS;8178087.9852;1542.52;1553.57;1553.57142857;12705243834.15;1;EUR;1;;QS0011249495;;;;;ECB;EU Price;Indices;;;;;0;
QS0011249495;14-11-2025;;QS0011249495;PT;PTOG;PSI Energy GR;XLIS;;2562.67;2581.03;2581.03497753;;;;;QS0011249503;;;0;;;ECB;TR1;Indices;;;;;0;
QS0011249248;14-11-2025;;QS0011249248;BE;BEOGP;BEL Energy;XBRU;81008117.5542451;1540.75;1541.8;1541.79878281;124898217042.89;3;EUR;1;;;QS0011249230;;;;ECB;EU Price;Indices;;;;;0;
QS0011249230;14-11-2025;;QS0011249230;BE;BEOG;BEL Energy NR;XBRU;;2601.50;2603.27;2603.26673882;;;;;QS0011249248;;;;0;;ECB;TR1;Indices;;;;;0;
QS0011227186;14-11-2025;;QS0011227186;FR;ALASG;Euronext Growth All-Share Index GR;XPAR;;1173.26;1163.72;1163.71564316;;;;;QS0011040902;;;0;;;ECB;TR1;Indices;;;;;0;
QS0011227178;14-11-2025;;QS0011227178;FR;ALASN;Euronext Growth All-Share Index NR;XPAR;;1121.14;1112.02;1112.02269846;;;;;QS0011040902;;;;0;;ECB;TR1;Indices;;;;;0;
QS0011225420;14-11-2025;;QS0011225420;NL;NLCSG;AEX Consumer Staples GR;XAMS;;4956.19;4888.44;4888.43939099;;;;;QS0011016563;;;0;;;ECB;TR1;Indices;;;;;0;
QS0011225404;14-11-2025;;QS0011225404;NL;NLCGG;AEX Consumer Discretionary GR;XAMS;;6077.27;6071.47;6071.4654846;;;;;QS0011016530;;;0;;;ECB;TR1;Indices;;;;;0;
QS0011225396;14-11-2025;;QS0011225396;NL;NLBMG;AEX Basic Materials GR;XAMS;;2411.26;2372.92;2372.92090647;;;;;QS0011016480;;;0;;;ECB;TR1;Indices;;;;;0;
