#Symbol;System Date;Change;IsinCode;Country;Mnemo;Name;MIC;Divisor;t-1 IV;t0 IV;t0 IV unround;Mkt Cap;Nr of components;Curr;FX;ISIN Underlying Price Index;ISIN Gross Return version;ISIN Net Return version;Effect Gross Total Return;Effect Net Total Return ;Stocks Effect Index;Dividend Currency Type;Calculation Type;Index Type;Return Method;Return Value;Number Of Days;Yearly Days;Dead Flag;Rate Name
QS0011256250;23-10-2025;;QS0011256250;NL;ENVBG;Euronext Sustainable Benelux 20 GR Index;XAMS;;3772.13;3791.03;3791.02708702;;;;;QS0011256235;;;0;;;ECB;TR1;Indices;;;;;0;
QS0011256243;23-10-2025;;QS0011256243;NL;ENVBN;Euronext Sustainable Benelux 20 NR Index;XAMS;;3443.31;3460.56;3460.55951966;;;;;QS0011256235;;;;0;;ECB;TR1;Indices;;;;;0;
QS0011256235;23-10-2025;;QS0011256235;NL;ENVB;Euronext Sustainable Benelux 20 Index;XAMS;885.32125481205;2298.06;2309.57;2309.57034962;2044711.72;20;EUR;1;;QS0011256250;QS0011256243;;;;ECB;EU Price;Indices;;;;;0;
QS0011256227;23-10-2025;;QS0011256227;NL;ENVOG;Euronext Sustainable Euro 120 GR Index;XAMS;;3611.77;3624.01;3624.00977553;;;;;QS0011256201;;;0;;;ECB;TR1;Indices;;;;;0;
QS0011256219;23-10-2025;;QS0011256219;NL;ENVON;Euronext Sustainable Euro 120 NR Index;XAMS;;3166.82;3177.54;3177.54497204;;;;;QS0011256201;;;;0;;ECB;TR1;Indices;;;;;0;
QS0011256201;23-10-2025;;QS0011256201;NL;ENVEO;Euronext Sustainable Euro 120 Index;XAMS;818.606843505572;2133.17;2140.39;2140.39416467;1752141.311;120;EUR;1;;QS0011256227;QS0011256219;;;;ECB;EU Price;Indices;;;;;0;
QS0011250956;23-10-2025;;QS0011250956;NL;ENVUG;Euronext Sustainable UK 20 GR Index;XAMS;;2085.41;2095.12;2095.11724967;;;;;QS0011250931;;;0;;;ECB;TR1;Indices;;;;;0;
QS0011250949;23-10-2025;;QS0011250949;NL;ENVUN;Euronext Sustainable UK 20 NR Index;XAMS;;2054.56;2064.12;2064.12015526;;;;;QS0011250931;;;;0;;ECB;TR1;Indices;;;;;0;
QS0011250931;23-10-2025;;QS0011250931;NL;ENVUK;Euronext Sustainable UK 20 Index;XAMS;75737.3980710988;1229.01;1234.73;1234.73238429;93515418.1;20;GBX;1;;QS0011250956;QS0011250949;;;;ECB;EU Price;Indices;;;;;0;
QS0011250923;23-10-2025;;QS0011250923;NL;ENVFG;Euronext Sustainable France 20 GR Index;XAMS;;2689.98;2673.07;2673.07038752;;;;;QS0011250907;;;0;;;ECB;TR1;Indices;;;;;0;
QS0011250915;23-10-2025;;QS0011250915;NL;ENVFN;Euronext Sustainable France 20 NR Index;XAMS;;2312.71;2298.16;2298.16427505;;;;;QS0011250907;;;;0;;ECB;TR1;Indices;;;;;0;
QS0011250907;23-10-2025;;QS0011250907;NL;ENVF;Euronext Sustainable France 20 Index;XAMS;781.071650981856;1574.31;1564.41;1564.40681589;1221913.8144947;20;EUR;1;;QS0011250923;QS0011250915;;;;ECB;EU Price;Indices;;;;;0;
QS0011250899;23-10-2025;;QS0011250899;NL;ENVEG;Euronext Sustainable Europe 120 GR Index;XAMS;;3385.33;3397.69;3397.69041161;;;;;QS0011250873;;;.13324424469408;;GB00BYT18307;ECB;TR1;Indices;;;;;0;
QS0011250881;23-10-2025;;QS0011250881;NL;ENVEN;Euronext Sustainable Europe 120 NR Index;XAMS;;3016.41;3027.42;3027.4210831;;;;;QS0011250873;;;;.13324424469408;GB00BYT18307;ECB;TR1;Indices;;;;;0;
QS0011250873;23-10-2025;;QS0011250873;NL;ENVEU;Euronext Sustainable Europe 120 Index;XAMS;863.927910164464;1990.27;1997.4;1997.40391179;1725612.98726528;120;EUR;1;;QS0011250899;QS0011250881;;;;ECB;EU Price;Indices;;;;;0;
QS0011249503;23-10-2025;;QS0011249503;PT;PTOGP;PSI Energy;XLIS;8178087.9852;1398.38;1437.93;1437.92517007;11759478556.95;1;EUR;1;;QS0011249495;;;;;ECB;EU Price;Indices;;;;;0;
QS0011249495;23-10-2025;;QS0011249495;PT;PTOG;PSI Energy GR;XLIS;;2323.21;2388.91;2388.90538971;;;;;QS0011249503;;;0;;;ECB;TR1;Indices;;;;;0;
QS0011249248;23-10-2025;;QS0011249248;BE;BEOGP;BEL Energy;XBRU;81008117.5542451;1454.97;1484.05;1484.04798139;120219933332.3;3;EUR;1;;;QS0011249230;;;;ECB;EU Price;Indices;;;;;0;
QS0011249230;23-10-2025;;QS0011249230;BE;BEOG;BEL Energy NR;XBRU;;2456.67;2505.76;2505.75677696;;;;;QS0011249248;;;;0;;ECB;TR1;Indices;;;;;0;
QS0011227186;23-10-2025;;QS0011227186;FR;ALASG;Euronext Growth All-Share Index GR;XPAR;;1169.53;1172.01;1172.01015183;;;;;QS0011040902;;;0;;;ECB;TR1;Indices;;;;;0;
QS0011227178;23-10-2025;;QS0011227178;FR;ALASN;Euronext Growth All-Share Index NR;XPAR;;1117.70;1120.07;1120.06679753;;;;;QS0011040902;;;;0;;ECB;TR1;Indices;;;;;0;
QS0011225420;23-10-2025;;QS0011225420;NL;NLCSG;AEX Consumer Staples GR;XAMS;;5035.67;5027.62;5027.61585184;;;;;QS0011016563;;;0;;;ECB;TR1;Indices;;;;;0;
QS0011225404;23-10-2025;;QS0011225404;NL;NLCGG;AEX Consumer Discretionary GR;XAMS;;6475.78;6516.36;6516.36371966;;;;;QS0011016530;;;0;;;ECB;TR1;Indices;;;;;0;
QS0011225396;23-10-2025;;QS0011225396;NL;NLBMG;AEX Basic Materials GR;XAMS;;2399.32;2388.21;2388.20867529;;;;;QS0011016480;;;0;;;ECB;TR1;Indices;;;;;0;
QS0011225370;23-10-2025;;QS0011225370;BE;BELCP;BEL Continuous Stocks Index;XBRU;17681735.3031435;40928.70;41028.8;41028.80329395;725460439648.3288;106;EUR;1;;;BE0389552978;;;;ECB;EU Price;Indices;;;;;0;
QS0011225222;23-10-2025;;QS0011225222;BE;BECGP;BEL Consumer Discretionary;XBRU;1402490.82920158;7151.70;7138.52;7138.51701975;10011704654.3;5;EUR;1;;;QS0011016761;;;;ECB;EU Price;Indices;;;;;0;
QS0011225214;23-10-2025;;QS0011225214;BE;BEINP;BEL Industrials;XBRU;32380407.8841157;1847.75;1852.05;1852.05218796;59970205268.93;14;EUR;1;;;QS0011016738;;;;ECB;EU Price;Indices;;;;;0;
QS0011225206;23-10-2025;;QS0011225206;BE;BEHCP;BEL Health Care;XBRU;16261250.7665606;6514.19;6518.84;6518.84487443;106004571211.3376;15;EUR;1;;;QS0011016795;;;;ECB;EU Price;Indices;;;;;0;
QS0011225198;23-10-2025;;QS0011225198;BE;BETEP;BEL Telecommunications;XBRU;11082413.9799754;399.13;399.46;399.45809189;4426959941.9662;4;EUR;1;;;QS0011016860;;;;ECB;EU Price;Indices;;;;;0;
QS0011225180;23-10-2025;;QS0011225180;BE;BEFIP;BEL Financials;XBRU;143958653.024882;1154.64;1155.65;1155.65037106;166365870785.141;15;EUR;1;;;QS0011016902;;;;ECB;EU Price;Indices;;;;;0;
QS0011225172;23-10-2025;;QS0011225172;BE;BETP;BEL Technology;XBRU;2981633.47393184;1438.40;1423.86;1423.86283271;4245437084.283;6;EUR;1;;;QS0011016936;;;;ECB;EU Price;Indices;;;;;0;
QS0011225164;23-10-2025;;QS0011225164;BE;BEUTP;BEL Utilities;XBRU;52325498.4506766;1136.51;1146.84;1146.84412792;60009190638.61;3;EUR;1;;;QS0011019005;;;;ECB;EU Price;Indices;;;;;0;
QS0011225156;23-10-2025;;QS0011225156;BE;BECSP;BEL Consumer Staples;XBRU;48731020.2069243;2938.49;2904.8;2904.79906865;141553822111.51;12;EUR;1;;;QS0011016829;;;;ECB;EU Price;Indices;;;;;0;
QS0011225065;23-10-2025;;QS0011225065;PT;PTTEP;PSI Technology;XLIS;382499.446829186;1259.50;1261.77;1261.7717975;482627014.57;2;EUR;1;;QS0011016688;;;;;ECB;EU Price;Indices;;;;;0;
QS0011225057;23-10-2025;;QS0011225057;PT;PTFIP;PSI Financials;XLIS;47303899.0802426;241.60;241.54;241.54049362;11425807133.8896;2;EUR;1;;QS0011016662;;;;;ECB;EU Price;Indices;;;;;0;
QS0011225040;23-10-2025;;QS0011225040;PT;PTUTP;PSI Utilities;XLIS;25288945.4515233;1368.23;1366.29;1366.29489941;34552157181.892;3;EUR;1;;QS0011016647;;;;;ECB;EU Price;Indices;;;;;0;
QS0011225032;23-10-2025;;QS0011225032;PT;PTTLP;PSI Telecommunications;XLIS;26609995.1116445;116.56;115.92;115.92016544;3084635035.68;4;EUR;1;;QS0011016621;;;;;ECB;EU Price;Indices;;;;;0;
QS0011225024;23-10-2025;;QS0011225024;PT;PTCSP;PSI Consumer Staples;XLIS;6783548.73685347;2302.01;2298.04;2298.04419155;15588894772.8;2;EUR;1;;QS0011016597;;;;;ECB;EU Price;Indices;;;;;0;
QS0011225016;23-10-2025;;QS0011225016;PT;PTCGP;PSI Consumer Discretionary;XLIS;201479.296503682;6373.06;6389.42;6389.42229335;1287336308.73;9;EUR;1;;QS0011016571;;;;;ECB;EU Price;Indices;;;;;0;
QS0011225008;23-10-2025;;QS0011225008;PT;PTINP;PSI Industrials;XLIS;6496273.03033815;645.59;656.63;656.62757185;4265631986;5;EUR;1;;QS0011016522;;;;;ECB;EU Price;Indices;;;;;0;
QS0011224993;23-10-2025;;QS0011224993;PT;PTBMP;PSI Basic Materials;XLIS;2039158.24916679;2390.19;2396.82;2396.82166033;4887498660.444;4;EUR;1;;QS0011016514;;;;;ECB;EU Price;Indices;;;;;0;
QS0011224977;23-10-2025;;QS0011224977;NL;AAXG;AEX All-Share Index GR;XAMS;;5282.27;5327.54;5327.53617217;;;;;NL0000249100;;;0;;;ECB;TR1;Indices;;;;;0;
QS0011224944;23-10-2025;;QS0011224944;NL;NLTLG;AEX Telecommunications GR;XAMS;;4214.14;4195.86;4195.85575072;;;;;QS0011016589;;;0;;;ECB;TR1;Indices;;;;;0;
QS0011224936;23-10-2025;;QS0011224936;NL;NLTCG;AEX Technology GR;XAMS;;15655.13;15866.08;15866.08083994;;;;;QS0011016613;;;0;;;ECB;TR1;Indices;;;;;0;
QS0011224910;23-10-2025;;QS0011224910;BE;BEBMP;BEL Basic Materials;XBRU;25116591.6412624;1124.52;1136.68;1136.67764167;28549468153.615;14;EUR;1;;;QS0011016696;;;;ECB;EU Price;Indices;;;;;0;
QS0011224829;23-10-2025;;QS0011224829;NL;NLOGG;AEX Energy GR;XAMS;;3080.49;3160.73;3160.73313653;;;;;QS0011016472;;;0;;;ECB;TR1;Indices;;;;;0;
QS0011224662;23-10-2025;;QS0011224662;NL;NLING;AEX Industrials GR;XAMS;;4147.40;4152.46;4152.46402058;;;;;QS0011016506;;;0;;;ECB;TR1;Indices;;;;;0;
QS0011224589;23-10-2025;;QS0011224589;NL;NLHCG;AEX Health Care GR;XAMS;;2046.00;2050.08;2050.07769861;;;;;QS0011016555;;;0;;;ECB;TR1;Indices;;;;;0;
QS0011224571;23-10-2025;;QS0011224571;FR;FRINN;CAC Industrials NR;XPAR;;5667.80;5710.62;5710.61594385;;;;;QS0011017652;;;;0;;ECB;TR1;Indices;;;;;0;
QS0011224522;23-10-2025;;QS0011224522;NL;NLFNG;AEX Financials GR;XAMS;;1855.10;1861.51;1861.50672664;;;;;QS0011016605;;;0;;;ECB;TR1;Indices;;;;;0;
QS0011224498;23-10-2025;;QS0011224498;FR;FRHCN;CAC Health Care NR;XPAR;;3709.91;3715.53;3715.52602184;;;;;QS0011017702;;;;0;;ECB;TR1;Indices;;;;;0;
QS0011224373;23-10-2025;;QS0011224373;FR;FRFNN;CAC Financials NR;XPAR;;2358.63;2367.92;2367.91759161;;;;;QS0011017801;;;;0;;ECB;TR1;Indices;;;;;0;
QS0011224308;23-10-2025;;QS0011224308;PT;BVL;PSI All-Share Index;XLIS;46518469.9539642;1870.60;1877.41;1877.40625901;87334066650.9556;32;EUR;1;;PTING1000005;;;;;ECB;EU Price;Indices;;;;;0;
QS0011224290;23-10-2025;;QS0011224290;FR;FRCSN;CAC Consumer Staples NR;XPAR;;1507.02;1489.95;1489.95395883;;;;;QS0011017736;;;;0;;ECB;TR1;Indices;;;;;0;
QS0011224274;23-10-2025;;QS0011224274;FR;N150G;Next 150 Index GR;XPAR;;7657.00;7690.01;7690.00627545;;;;;FR0003502087;;;0;;;ECB;TR1;Indices;;;;;0;
QS0011224258;23-10-2025;;QS0011224258;FR;N100G;Euronext 100 Index GR;XPAR;;3749.39;3770.72;3770.72227924;;;;;FR0003502079;;;0;;;ECB;TR1;Indices;;;;;0;
QS0011224233;23-10-2025;;QS0011224233;FR;CN20G;CAC Next 20 GR;XPAR;;22936.37;23040.35;23040.34799403;;;;;QS0010989109;;;0;;;ECB;TR1;Indices;;;;;0;
QS0011224217;23-10-2025;;QS0011224217;FR;PAXNR;CAC All-Share Index NR;XPAR;;16547.66;16574.12;16574.11796505;;;;;QS0010989141;;;;0;;ECB;TR1;Indices;;;;;0;
QS0011224092;23-10-2025;;QS0011224092;FR;CN20N;CAC Next 20 NR;XPAR;;19674.96;19764.15;19764.15463055;;;;;QS0010989109;;;;0;;ECB;TR1;Indices;;;;;0;
QS0011224084;23-10-2025;;QS0011224084;FR;FRUTN;CAC Utilities NR;XPAR;;1702.78;1715.88;1715.87770152;;;;;QS0011017785;;;;0;;ECB;TR1;Indices;;;;;0;
QS0011223995;23-10-2025;;QS0011223995;FR;FRCGN;CAC Consumer Discretionary NR;XPAR;;6656.69;6679.48;6679.47645853;;;;;QS0011017686;;;;0;;ECB;TR1;Indices;;;;;0;
